instrument,hmm_predicted_regime,hmm_volatility_regime,hmm_return_regime,hmm_market_state,days,avg_daily_return,avg_abs_return,avg_realized_vol_20d,avg_confidence
cl1s,0,extreme_vol,downside,stress,162,-0.034663463218411544,0.04139340187971049,0.05229425072255344,0.9455764870351667
cl1s,1,normal_vol,positive,calm_positive,39,0.0025723792216027996,0.016079838108911632,0.025245915760134154,0.9294988857347121
cl1s,2,low_vol,weak,calm_negative,261,0.0014318791430613805,0.008645329457579261,0.0179595478656468,0.9352941650816475
cl1s,3,high_vol,strong_upside,upside_breakout,164,0.037076844340270906,0.03710002547422059,0.03725232900413473,0.9148634867350657
es1s,0,extreme_vol,downside,stress,120,-0.002673298590169196,0.02438022944540342,0.025574016815215105,0.938618582782381
es1s,1,high_vol,weak,stress,259,0.0009829222784676812,0.009649657935438058,0.011976257167770636,0.9332765551007828
es1s,2,normal_vol,positive,calm_positive,35,0.0012619685130554924,0.0061461562503192235,0.009127901567229762,0.9483848394859868
es1s,3,low_vol,strong_upside,calm_positive,215,0.0012765118913853925,0.0038467626030499937,0.006734710635336956,0.9519545153247461
fesx1s,0,normal_vol,weak,calm_negative,48,-0.0017415860551705266,0.010425505470206304,0.013118898334889025,0.9286756566297396
fesx1s,1,extreme_vol,downside,stress,107,-0.002669202911467637,0.02289634764120609,0.025589822322246863,0.9362127648513447
fesx1s,2,high_vol,strong_upside,upside_breakout,259,0.0012008852328203358,0.010414989549679963,0.013859709141716093,0.9412554419297935
fesx1s,3,low_vol,positive,calm_positive,221,0.0008718329563651806,0.004984835874308275,0.008226106704548422,0.9565934449994398
gc1s,0,extreme_vol,downside,stress,67,-0.005455553750773134,0.020172762807361667,0.01798703984952625,0.9318078522089548
gc1s,1,normal_vol,weak,calm_negative,96,-0.0011134786841056875,0.007219156105995751,0.008968034599575571,0.8881478637660832
gc1s,2,low_vol,positive,calm_positive,70,0.000948243679360388,0.0031135372902866116,0.006700016500626627,0.8624913935263396
gc1s,3,high_vol,strong_upside,upside_breakout,395,0.0014373893277133526,0.006888217785297012,0.010424420533126963,0.9421530452040735
hg1s,0,low_vol,positive,calm_positive,214,0.0013456990308645782,0.005242705608104616,0.013406802121209418,0.8729911112809239
hg1s,1,extreme_vol,downside,stress,101,-0.0023826923654395073,0.01911925201851622,0.01999976434646628,0.871436118800377
hg1s,2,normal_vol,weak,calm_negative,286,0.0006888114872146355,0.014568919042776827,0.014115327956045266,0.9050347173622522
hg1s,3,high_vol,strong_upside,upside_breakout,27,0.0027675414815405697,0.008217691910956823,0.015456424765805821,0.9109697445917058
ho1s,0,extreme_vol,downside,stress,174,-0.025256047369953297,0.030390611579756102,0.037013361456101374,0.9548416059888537
ho1s,1,low_vol,weak,calm_negative,280,0.0022146958407748716,0.008276459784422256,0.016469841192603547,0.9389585402466812
ho1s,2,normal_vol,positive,calm_positive,35,0.004874026112670807,0.01443253792759943,0.024560522160463203,0.9619497810888654
ho1s,3,high_vol,strong_upside,upside_breakout,139,0.03321952760401838,0.03321952760401838,0.029371713649815095,0.9137342232516994
ng1s,0,extreme_vol,strong_upside,upside_breakout,204,0.0025100145906692896,0.04747984412354119,0.05083072017945466,0.9386208206250052
ng1s,1,high_vol,downside,stress,216,-0.0005083979358000234,0.02383210599491316,0.03577967552185912,0.9299820876388694
ng1s,2,low_vol,positive,calm_positive,124,0.0012541233436939715,0.014495917042823346,0.019062427546993884,0.9518987376385949
ng1s,3,normal_vol,weak,calm_negative,84,0.000984044900968604,0.026365076541669984,0.03552947870782602,0.9526298238252916
nq1s,0,extreme_vol,downside,stress,114,-0.0011634876965158295,0.027605953239328684,0.029314263033589937,0.9221302426572817
nq1s,1,high_vol,weak,stress,289,0.0002921856324996188,0.01316737507817214,0.015844139703851547,0.9431284108735558
nq1s,2,normal_vol,positive,calm_positive,34,0.0017467884471877664,0.00912384839226107,0.013805352179535746,0.9365157967587915
nq1s,3,low_vol,strong_upside,calm_positive,192,0.0018783006289392085,0.005148694288504058,0.008681173649438873,0.9568858602434727
pl1s,0,extreme_vol,positive,upside_breakout,514,-0.0009141378254526437,0.01925558744912407,0.02311920469002502,0.9714707074905123
pl1s,1,low_vol,weak,calm_negative,53,-0.00228872952332222,0.004556569262855574,0.015984597574370502,0.8056127359441401
pl1s,2,high_vol,downside,stress,2,-0.0043251185382809365,0.013564482529162813,0.02195332636693541,0.9999999555766428
pl1s,3,normal_vol,strong_upside,calm_positive,59,0.01092064171545614,0.01092064171545614,0.016556164618585747,0.8455294823106057
rb1s,0,low_vol,downside,calm_negative,170,-0.005522805144667373,0.007590709967220183,0.0182709850083669,0.8811752219160098
rb1s,1,extreme_vol,weak,stress,260,-0.0021841971830228522,0.0374342887816335,0.04184348166597912,0.9526786673552968
rb1s,2,high_vol,positive,upside_breakout,32,0.004411155811730742,0.01683951338052243,0.027817830515886967,0.9720844566516545
rb1s,3,normal_vol,strong_upside,calm_positive,166,0.01466842114829065,0.014674618472146236,0.018982553581001375,0.8937629424018884
si1s,0,extreme_vol,downside,stress,259,-0.0034534963366342005,0.025715912145894103,0.027883101105300213,0.940901726503211
si1s,1,low_vol,positive,calm_positive,202,-0.0025179390282665626,0.005875831184775638,0.01621913976795144,0.8981414533066189
si1s,2,normal_vol,weak,calm_negative,50,-0.00297063372345697,0.010974323397449127,0.017869578199648475,0.8955221264482179
si1s,3,high_vol,strong_upside,upside_breakout,117,0.015350859082251117,0.015350859082251117,0.01832015305503736,0.8876273695775849
