date,instrument,primary_signal,hmm_volatility_regime,hmm_prob_low_vol,hmm_prob_normal_vol,hmm_prob_high_vol,hmm_prob_extreme_vol,hmm_prob_low_or_normal_vol,hmm_prob_high_or_extreme_vol
2020-01-03,cl1s,0,high_vol,0.0007946342558102,0.0077398733733948,0.99114039231009,0.0003251000612227,0.008534507629204999,0.9914654923713127
2020-01-03,es1s,1,low_vol,0.8501335114381865,0.041250384968897,0.1084369949333875,0.0001791086592335,0.8913838964070835,0.108616103592621
2020-01-03,fesx1s,-1,low_vol,0.974204053857032,0.0026156006582335,0.0231755623568639,4.783127729669172e-06,0.9768196545152655,0.023180345484593568
2020-01-03,gc1s,0,normal_vol,1.6780761877448638e-06,0.9953711540422148,0.0030237741097652,0.0016033937687509,0.9953728321184026,0.0046271678785161
2020-01-03,hg1s,1,normal_vol,0.1700176808890917,0.8290679108404712,0.0005568158240104,0.0003575924492903,0.9990855917295629,0.0009144082733007
2020-01-03,ho1s,0,high_vol,0.0397565053107939,0.0301186997951616,0.9220313627799158,0.0080934321141525,0.0698752051059555,0.9301247948940683
2020-01-03,ng1s,0,high_vol,0.11161118451172,0.0028017010725098,0.88533599049604,0.000251123921126,0.1144128855842298,0.885587114417166
2020-01-03,nq1s,1,low_vol,0.975605844496713,0.006248262093828,0.0181439868319129,1.9065791155269956e-06,0.981854106590541,0.018145893411028426
2020-01-03,pl1s,-1,low_vol,0.7901840870588087,0.2078560308192525,0.0010194992447869,0.0009403828792485,0.9980401178780612,0.0019598821240354
2020-01-03,rb1s,1,normal_vol,1.8172443966071395e-06,0.828684752620492,0.0029969996178438,0.1683164305146502,0.8286865698648886,0.171313430132494
2020-01-03,si1s,1,low_vol,0.9815317906593222,0.0003421011787439,0.0178658031837003,0.000260304980358,0.9818738918380661,0.0181261081640583
2020-01-06,cl1s,0,low_vol,0.9801473462136224,0.002641900301481,0.0048829727391878,0.0123277807484461,0.9827892465151035,0.0172107534876339
2020-01-06,es1s,1,low_vol,0.9986095169623858,0.0002760627348239,0.0011133284225396,1.0918809783518834e-06,0.9988855796972097,0.0011144203035179517
2020-01-06,fesx1s,1,low_vol,0.9995377346650622,0.0001121856349017,0.00034996954019,1.1016005299476467e-07,0.9996499202999639,0.00035007970024299477
2020-01-06,gc1s,0,normal_vol,0.0022970643515605,0.8118811228376112,0.185625335310471,0.0001964775010203,0.8141781871891717,0.18582181281149132
2020-01-06,hg1s,1,low_vol,0.9954904901585008,0.0044516652476188,4.41450610445592e-05,1.3699532004125397e-05,0.9999421554061195,5.7844593048684593e-05
2020-01-06,ho1s,0,extreme_vol,0.0186188056270962,0.0021132228400717,0.0002851247404227,0.978982846789861,0.0207320284671679,0.9792679715302838
2020-01-06,ng1s,0,high_vol,0.2898255171165031,0.0025957096874313,0.70736185001781,0.0002169231777729,0.2924212268039344,0.7075787731955829
2020-01-06,nq1s,-1,low_vol,0.9987555644527004,0.0002622047705047,0.000982134989527,9.57867222388745e-08,0.9990177692232051,0.0009822307762492389
2020-01-06,pl1s,1,extreme_vol,9.021458959805147e-10,2.0958835838268152e-26,5.058639387904075e-09,0.9999999940409908,9.021458959805147e-10,0.9999999990996302
2020-01-06,rb1s,1,low_vol,0.9008102317687124,0.092009829057269,0.0006864881903844,0.006493450984036,0.9928200608259814,0.0071799391744204
2020-01-06,si1s,1,low_vol,0.9864060641035892,0.0006045752647002,0.0121147234024134,0.0008746372308212,0.9870106393682894,0.0129893606332346
2020-01-07,cl1s,-1,low_vol,0.9992237860240998,0.0003527564263077,5.173874378784607e-05,0.0003717188090968,0.9995765424504075,0.0004234575528846461
2020-01-07,es1s,1,low_vol,0.9999045568804452,4.22721441162953e-05,5.309480849060074e-05,7.616715092202311e-08,0.9999468290245616,5.317097564152276e-05
2020-01-07,fesx1s,1,low_vol,0.999887847937673,4.3184960322440755e-05,6.893767332264685e-05,2.9427442899973322e-08,0.9999310328979955,6.896710076554682e-05
2020-01-07,gc1s,0,low_vol,0.6958607075139894,0.2149115476155341,0.0891800958031687,4.764906426976703e-05,0.9107722551295235,0.08922774486743847
2020-01-07,hg1s,1,low_vol,0.9987566630128552,0.0012282255258129,1.3211175630282949e-05,1.9002887799117684e-06,0.9999848885386681,1.5111464410194716e-05
2020-01-07,ho1s,0,low_vol,0.9979749722663666,0.000156980112034,0.0004005349341367,0.0014675126855368,0.9981319523784006,0.0018680476196735
2020-01-07,ng1s,0,low_vol,0.6266285483629933,0.0022205281299202,0.3710121400684484,0.0001387834398254,0.6288490764929136,0.3711509235082738
2020-01-07,nq1s,-1,low_vol,0.9998765210210412,5.506965223521693e-05,6.840016472034108e-05,9.160859557043675e-09,0.9999315906732764,6.840932557989813e-05
2020-01-07,pl1s,1,low_vol,0.5773218868438066,0.3681851928389874,0.0055640466574721,0.0489288736585787,0.945507079682794,0.054492920316050804
2020-01-07,rb1s,-1,low_vol,0.9972893111528351,7.431018863260734e-08,0.0002143511501661,0.0024962633883659,0.9972893854630238,0.002710614538532
2020-01-07,si1s,1,high_vol,0.0493416698677942,0.0003538004653155,0.9487663238773628,0.0015382057876995,0.049695470333109705,0.9503045296650623
2020-01-08,cl1s,0,extreme_vol,2.163336291425574e-31,2.6082631435096953e-09,2.918639584724005e-09,0.9999999944702722,2.6082631435096953e-09,0.9999999973889118
2020-01-08,es1s,1,normal_vol,0.0004009117535694,0.6369726657664917,0.3556126664678064,0.0070137560104286,0.6373735775200611,0.362626422478235
2020-01-08,fesx1s,1,low_vol,0.4194113771368005,0.1939945196498543,0.3859106927025427,0.0006834105097307,0.6134058967866548,0.3865941032122734
2020-01-08,gc1s,0,extreme_vol,2.719297173760383e-22,0.0681896759491213,0.0163525479769931,0.9154577760774132,0.0681896759491213,0.9318103240544063
2020-01-08,hg1s,1,low_vol,0.9846966484347688,0.0152491632228853,4.679417984534027e-05,7.394165659912096e-06,0.9999458116576541,5.418834550525237e-05
2020-01-08,ho1s,0,extreme_vol,2.8713535437260877e-25,8.574947931133839e-06,5.325238102348573e-08,0.9999913717992306,8.574947931133839e-06,0.9999914250516116
2020-01-08,ng1s,0,low_vol,0.9715888441068258,0.0005955865588855,0.0277832434954788,3.2325836899988695e-05,0.9721844306657113,0.02781556933237879
2020-01-08,nq1s,1,high_vol,0.0020390593497285,0.2165160302722588,0.7811671912153463,0.0002777191641463,0.2185550896219873,0.7814449103794926
2020-01-08,pl1s,1,low_vol,0.8037210221237109,8.163103974548822e-08,0.0029947786753437,0.1932841175693023,0.8037211037547506,0.196278896244646
2020-01-08,rb1s,1,extreme_vol,4.8999133588728726e-27,4.195689481622055e-43,1.7852201768498502e-06,0.9999982147799092,4.899913358872873e-27,1.0000000000000862
2020-01-08,si1s,1,extreme_vol,0.0016639559856091,0.0017067322308327,5.388927325675887e-08,0.996629257897276,0.0033706882164418,0.9966293117865492
2020-01-09,cl1s,0,low_vol,0.979769061717267,0.010412621805737,0.0021544782624465,0.007663838216324,0.990181683523004,0.0098183164787705
2020-01-09,es1s,1,low_vol,0.9832695663911304,0.0157401755880637,0.0009738336445884,1.6424377389280742e-05,0.9990097419791941,0.0009902580219776807
2020-01-09,fesx1s,-1,low_vol,0.9976869634745932,0.0007232051890778,0.0015880092415055,1.822094395262041e-06,0.9984101686636709,0.0015898313359007622
2020-01-09,gc1s,0,low_vol,0.6551066086569917,0.1535087210824205,0.1825884772965731,0.0087961929662772,0.8086153297394122,0.1913846702628503
2020-01-09,hg1s,1,low_vol,0.999499317866352,0.0004876677343573,1.1545776788309198e-05,1.4686212420029722e-06,0.9999869856007093,1.301439803031217e-05
2020-01-09,ho1s,0,low_vol,0.9909003886497504,0.0006054506333575,0.0001589074161587,0.0083352532983571,0.9915058392831079,0.0084941607145158
2020-01-09,ng1s,0,low_vol,0.9974502161679618,0.0012202819276737,0.0013224449259585,7.056975668456629e-06,0.9986704980956355,0.0013295019016269568
2020-01-09,nq1s,-1,low_vol,0.9855194534005876,0.0059112416169744,0.0085648990365711,4.405945301980235e-06,0.991430695017562,0.00856930498187308
2020-01-09,pl1s,1,normal_vol,0.002721718196443,0.9927137534679596,8.649273568743767e-05,0.0044780355971893,0.9954354716644026,0.0045645283328767374
2020-01-09,rb1s,1,low_vol,0.9355259751066262,0.0559841349146649,0.0010453340665649,0.0074445559088357,0.9915101100212911,0.0084898899754006
2020-01-09,si1s,1,low_vol,0.9681977889104184,0.0078705673505157,6.308663394467519e-07,0.0239310128703235,0.9760683562609341,0.023931643736662945
2020-01-10,cl1s,0,low_vol,0.9922888191537322,0.0058346492060391,6.778207948871431e-05,0.0018087495585559,0.9981234683597713,0.0018765316380446144
2020-01-10,es1s,1,low_vol,0.9996916052992116,0.0001719624681045,0.0001361326173457,2.996143165417027e-07,0.9998635677673161,0.0001364322316622417
2020-01-10,fesx1s,-1,low_vol,0.9998934900368818,5.77232406177564e-05,4.8751118184243514e-05,3.560587676420648e-08,0.9999512132774995,4.878672406100772e-05
2020-01-10,gc1s,0,low_vol,0.959259556730868,0.02820288923708,0.0125293299858024,8.224044905116016e-06,0.9874624459679481,0.012537554030707516
2020-01-10,hg1s,1,low_vol,0.9976369693701084,0.0023497399933306,1.130023926888115e-05,1.9903996514025e-06,0.9999867093634389,1.329063892028365e-05
2020-01-10,ho1s,0,low_vol,0.9976138977561766,0.000146160875185,8.67284296725855e-06,0.0022312685260136,0.9977600586313616,0.0022399413689808585
2020-01-10,ng1s,0,low_vol,0.982473357486449,0.0150731218210159,0.0023791614809259,7.435921294644621e-05,0.997546479307465,0.002453520693872346
2020-01-10,nq1s,-1,low_vol,0.9997936765775828,5.546132638565605e-05,0.0001508438013809,1.8294637020591172e-08,0.9998491379039685,0.00015086209601792062
2020-01-10,pl1s,-1,normal_vol,0.0005323141992216,0.9983976482479318,2.4633851573906517e-05,0.0010454037043161,0.9989299624471534,0.0010700375558900066
2020-01-10,rb1s,1,low_vol,0.8828034373553061,0.1160312870078853,0.0002173355580964,0.0009479400756839,0.9988347243631914,0.0011652756337803
2020-01-10,si1s,1,low_vol,0.6406951857922332,0.0007999259189524,0.3577166222659925,0.0007882660241094,0.6414951117111856,0.3585048882901019
2020-01-13,cl1s,0,low_vol,0.8323515679707889,0.1190749034044378,0.0001084491977517,0.0484650794236709,0.9514264713752267,0.0485735286214226
2020-01-13,es1s,1,low_vol,0.9996709218716648,0.0002380469072982,9.071623957126393e-05,3.1498319770957685e-07,0.9999089687789631,9.10312227689735e-05
2020-01-13,fesx1s,1,low_vol,0.9998629404583712,8.379817220019367e-05,5.321098805014262e-05,5.0379971192120644e-08,0.9999467386305714,5.326136802133474e-05
2020-01-13,gc1s,0,low_vol,0.681725521164918,0.3154205079388967,0.0028037686298296,5.020226959875885e-05,0.9971460291038148,0.0028539708994283586
2020-01-13,hg1s,1,normal_vol,0.0207827504699531,0.9770794090038232,0.0016240365902547,0.0005138039389227,0.9978621594737763,0.0021378405291774
2020-01-13,ho1s,0,low_vol,0.9529043366774848,0.0009173615092488,1.1091588855544667e-05,0.0461672102269305,0.9538216981867336,0.04617830181578605
2020-01-13,ng1s,0,low_vol,0.9985104418463178,0.0012477779225557,0.0002365668306287,5.21339969560198e-06,0.9997582197688735,0.00024178023032430198
2020-01-13,nq1s,1,low_vol,0.99787893949003,0.0004713349342071,0.0016495367646107,1.888120916979929e-07,0.9983502744242372,0.001649725576702398
2020-01-13,pl1s,0,low_vol,0.9989419461871192,8.021190331066678e-05,0.0004953272575523,0.0004825146525069,0.9990221580904298,0.0009778419100592
2020-01-13,rb1s,1,low_vol,0.9981400714591456,0.0013487967683861,9.070414020633746e-05,0.0004204276291838,0.9994888682275317,0.0005111317693901375
2020-01-13,si1s,1,low_vol,0.9996797402331792,0.0001569151196968,6.832320747283427e-07,0.0001626614158813,0.999836655352876,0.00016334464795602835
2020-01-14,cl1s,0,normal_vol,0.1732961244459808,0.8252988208547115,0.0007043479637433,0.0007007067330838,0.9985949453006924,0.0014050546968271001
2020-01-14,es1s,1,low_vol,0.9998292803071076,0.0001524988923552,1.8139351968648603e-05,8.144933915896413e-08,0.9999817791994629,1.8220801307807568e-05
2020-01-14,fesx1s,1,low_vol,0.9998255688632868,8.567126287060621e-05,8.870676007320895e-05,5.3113277757256414e-08,0.9999112401261574,8.875987335096621e-05
2020-01-14,gc1s,0,low_vol,0.9933034246623664,0.006258053254682,0.000437826942702,6.951430425723787e-07,0.9995614779170484,0.00043852208574457236
2020-01-14,hg1s,1,low_vol,0.9959842448729334,0.0039185914245113,7.20600921448571e-05,2.5103610024876397e-05,0.9999028362974447,9.716370216973351e-05
2020-01-14,ho1s,0,low_vol,0.9993498408860756,8.825282524087586e-05,0.0004214115564515,0.0001404947294093,0.9994380937113164,0.0005619062858608
2020-01-14,ng1s,0,low_vol,0.9984793619229384,0.0012617325683605,0.0002523685883397,6.536917215029286e-06,0.9997410944912989,0.00025890550555472924
2020-01-14,nq1s,1,low_vol,0.999828702443889,8.498788508361404e-05,8.630064980204211e-05,9.022104532391575e-09,0.9999136903289726,8.63096719065745e-05
2020-01-14,pl1s,0,normal_vol,0.1448955255957095,0.8529502851752544,0.0010238065233025,0.0011303827022266,0.9978458107709639,0.0021541892255291
2020-01-14,rb1s,1,low_vol,0.9980811596375248,0.0012901312453141,0.0001127919504463,0.0005159171683296,0.9993712908828388,0.0006287091187759
2020-01-14,si1s,1,low_vol,0.9979541961976912,0.0007954300063046,6.982094107703032e-09,0.0012503668173573,0.9987496262039958,0.0012503737994514078
2020-01-15,cl1s,0,normal_vol,3.4595136435642487e-94,1.0,6.719354437763455e-72,1.0678637226096177e-65,1.0,1.0678643945450614e-65
2020-01-15,es1s,1,low_vol,0.9999391904466124,3.086381984353905e-05,2.988869560065084e-05,5.7036464666522945e-08,0.9999700542664559,2.994573206531736e-05
2020-01-15,fesx1s,1,low_vol,0.9998772990489112,8.432462891591327e-05,3.833211710320106e-05,4.4206433405487544e-08,0.9999616236778271,3.837632353660655e-05
2020-01-15,gc1s,0,low_vol,0.9922250222369928,0.0077136069235652,5.989325405295372e-05,1.4775837504283217e-06,0.999938629160558,6.137083780338204e-05
2020-01-15,hg1s,1,low_vol,0.9994131325160244,0.0005805563138498,5.551997835347311e-06,7.591719999638251e-07,0.9999936888298742,6.311169835311136e-06
2020-01-15,ho1s,0,low_vol,0.980563506880876,0.0012632643360566,1.4928930612477082e-05,0.0181582998537426,0.9818267712169326,0.018173228784355077
2020-01-15,ng1s,0,low_vol,0.9887740614275732,0.0072083816011573,0.0038608900217802,0.0001566669529287,0.9959824430287305,0.0040175569747089
2020-01-15,nq1s,1,low_vol,0.9998961103828644,3.2893796904814244e-05,7.098874138703616e-05,7.080303386519145e-09,0.9999290041797693,7.099582169042267e-05
2020-01-15,pl1s,-1,extreme_vol,1.8889558828355657e-23,2.449082186061009e-14,1.2619718314024471e-14,1.0,2.449082187949965e-14,1.0000000000000127
2020-01-15,rb1s,1,low_vol,0.999376440326726,1.2833217085607274e-06,9.692553867880395e-05,0.0005253508162735,0.9993777236484346,0.0006222763549523039
2020-01-15,si1s,0,high_vol,0.2382320863685421,0.0007122897722879,0.7601059146360957,0.0009497092255542,0.23894437614083,0.7610556238616498
2020-01-16,cl1s,0,low_vol,0.9915768098663584,0.0054958725899185,0.002744291515698,0.0001830260277467,0.9970726824562769,0.0029273175434447003
2020-01-16,es1s,1,low_vol,0.999804294066818,7.932056498134467e-05,0.0001161682989222,2.1706961171562845e-07,0.9998836146317994,0.00011638536853391563
2020-01-16,fesx1s,1,low_vol,0.999883299755018,8.008431681645786e-05,3.657144688066872e-05,4.447948663957581e-08,0.9999633840718345,3.6615926367308296e-05
2020-01-16,gc1s,0,low_vol,0.9977402671659126,0.0022505696646831,8.725787900880853e-06,4.373844241674728e-07,0.9999908368305956,9.163172325048325e-06
2020-01-16,hg1s,1,low_vol,0.9923572351272828,0.0076196730036781,1.9755646238964142e-05,3.3362210798817772e-06,0.9999769081309609,2.309186731884592e-05
2020-01-16,ho1s,0,low_vol,0.9936348255688848,0.0022327504981478,1.14491524059503e-05,0.0041209747798102,0.9958675760670326,0.00413242393221615
2020-01-16,ng1s,0,low_vol,0.9816385980545964,0.0072661042293713,0.0109073581834845,0.0001879395331355,0.9889047022839678,0.011095297716620002
2020-01-16,nq1s,-1,low_vol,0.9997581910195328,8.11831633094278e-05,0.0001606064531119,1.9362384903118468e-08,0.9998393741828422,0.00016062581549680313
2020-01-16,pl1s,0,extreme_vol,1.3591863849799885e-15,3.1528144057154413e-31,8.899597029323876e-14,1.0,1.359186384979989e-15,1.000000000000089
2020-01-16,rb1s,1,normal_vol,0.3785964042524841,0.6192373217591994,0.0006621384756061,0.0015041355141779,0.9978337260116835,0.0021662739897840002
