date,instrument,weight
2022-01-03,cl1s,0.23524792414714935
2022-01-03,rb1s,0.16116552141971324
2022-01-04,cl1s,0.23688376261494626
2022-01-04,rb1s,0.15099513996747382
2022-01-05,cl1s,0.23897248658026377
2022-01-05,rb1s,0.1868724148145909
2022-01-06,cl1s,0.23521149784483078
2022-01-06,rb1s,0.15088775814150865
2022-01-07,cl1s,0.2458811297269472
2022-01-07,rb1s,0.16129588259906696
2022-01-10,cl1s,0.2463119486039706
2022-01-10,rb1s,0.15496579942829625
2022-01-11,cl1s,0.22046074650579267
2022-01-11,rb1s,0.19379340667941225
2022-01-12,cl1s,0.23771677079308107
2022-01-12,rb1s,0.14943738994381556
2022-01-13,cl1s,0.24655735774532225
2022-01-13,ng1s,-0.0
2022-01-13,rb1s,0.1598781424170821
2022-01-14,cl1s,0.2330281952966727
2022-01-14,ng1s,-0.0
2022-01-14,rb1s,-0.0
2022-01-18,cl1s,0.24236301453237405
2022-01-18,ng1s,-0.0
2022-01-18,rb1s,-0.0
2022-01-19,cl1s,0.24780909397504172
2022-01-19,rb1s,0.19659288083789495
2022-01-20,cl1s,0.25
2022-01-20,rb1s,0.18745055532741206
2022-01-21,cl1s,0.25
2022-01-21,rb1s,-0.0
2022-01-24,cl1s,0.25
2022-01-24,rb1s,0.0
2022-01-25,cl1s,0.24301630324904372
2022-01-25,ng1s,-0.0
2022-01-25,rb1s,0.15151244953190185
2022-01-26,cl1s,0.25
2022-01-26,ng1s,-0.0
2022-01-26,rb1s,0.0
2022-01-27,cl1s,0.25
2022-01-27,ng1s,-0.0
2022-01-27,rb1s,0.0
2022-01-28,cl1s,0.25
2022-01-28,ng1s,-0.0
2022-01-28,rb1s,0.1570103926587137
2022-01-31,cl1s,0.25
2022-01-31,ng1s,-0.0
2022-01-31,rb1s,0.1631240826701572
2022-02-01,cl1s,0.25
2022-02-01,ng1s,-0.0
2022-02-01,rb1s,0.0
2022-02-02,cl1s,0.25
2022-02-02,ng1s,-0.0
2022-02-02,rb1s,0.0
2022-02-03,ng1s,-0.0
2022-02-03,rb1s,0.0
2022-02-04,ng1s,-0.0
2022-02-04,rb1s,0.0
2022-02-07,rb1s,0.0
2022-02-08,ng1s,-0.0
2022-02-08,rb1s,-0.0
2022-02-09,ng1s,-0.0
2022-02-09,rb1s,0.17078019588018134
2022-02-10,cl1s,0.24879023362881372
2022-02-10,ng1s,-0.0
2022-02-10,rb1s,0.0
2022-02-11,ng1s,-0.0
2022-02-11,rb1s,0.18867882883819168
2022-02-14,ng1s,-0.0
2022-02-14,rb1s,-0.0
2022-02-15,cl1s,0.23901407930944266
2022-02-15,ng1s,-0.0
2022-02-15,rb1s,0.21568120077265748
2022-02-16,cl1s,0.22478575847574706
2022-02-16,ng1s,-0.0
2022-02-16,rb1s,0.24157739401188805
2022-02-17,cl1s,0.24107683695677917
2022-02-17,ng1s,-0.0
2022-02-17,rb1s,0.17878887900697932
2022-02-18,cl1s,0.24788167609955958
2022-02-18,ng1s,-0.0
2022-02-18,rb1s,0.0
2022-02-22,cl1s,0.23019544242998632
2022-02-22,ng1s,-0.0
2022-02-22,rb1s,0.1951738105225389
2022-02-23,cl1s,0.2431054147030061
2022-02-23,ng1s,-0.0
2022-02-23,rb1s,0.20711065911895674
2022-02-24,cl1s,0.23972058392731407
2022-02-24,ng1s,-0.0
2022-02-24,rb1s,0.23244204324685017
2022-02-25,cl1s,0.2397439264318486
2022-02-25,ng1s,-0.0
2022-02-25,rb1s,0.25
2022-02-28,cl1s,0.0
2022-02-28,ng1s,-0.0
2022-02-28,rb1s,0.22196406460760398
2022-03-01,ng1s,-0.0
2022-03-01,rb1s,0.21507702784069266
2022-03-02,ng1s,-0.0
2022-03-02,rb1s,-0.0
2022-03-03,cl1s,0.15000799814298882
2022-03-03,ng1s,-0.0
2022-03-03,rb1s,-0.0
2022-03-04,ng1s,-0.11280944548410969
2022-03-04,rb1s,-0.0
2022-03-07,ng1s,-0.11637446779110704
2022-03-07,rb1s,-0.0
2022-03-08,ng1s,-0.09775015421280181
2022-03-08,rb1s,-0.0
2022-03-09,ng1s,-0.09654823684284025
2022-03-09,rb1s,-0.0
2022-03-10,ng1s,-0.11392839104971282
2022-03-10,rb1s,-0.0
2022-03-11,ng1s,-0.1093278391388317
2022-03-11,rb1s,-0.0
2022-03-14,cl1s,-0.11872403060589977
2022-03-14,ng1s,-0.11633606952277639
2022-03-14,rb1s,-0.0
2022-03-15,ng1s,-0.12449914623397589
2022-03-15,rb1s,0.0
2022-03-16,ng1s,-0.12632697908099097
2022-03-16,rb1s,0.0
2022-03-17,ng1s,-0.12759568838239846
2022-03-17,rb1s,-0.0
2022-03-18,cl1s,-0.1039086513864329
2022-03-18,rb1s,-0.0
2022-03-21,cl1s,-0.09053391784735362
2022-03-21,rb1s,-0.0
2022-03-22,cl1s,-0.10099437488332505
2022-03-22,rb1s,-0.0
2022-03-23,cl1s,-0.09056975649179123
2022-03-23,rb1s,-0.0
2022-03-24,cl1s,-0.10486043264431517
2022-03-24,rb1s,-0.0
2022-03-25,cl1s,-0.10083562609468981
2022-03-25,rb1s,-0.0
2022-03-28,cl1s,-0.10836108427279656
2022-03-28,rb1s,-0.0
2022-03-29,rb1s,-0.0
2022-03-30,rb1s,-0.0
