instrument,signal_column,training_end,date,close,primary_signal,vol,tp,sl,timeout_date,timeout_close,touch_date,touch_price,touched_barrier,triple_barrier_label,metalabel,volatility_method,ewma_span,volatility_window,num_days,take_profit_mult,stop_loss_mult,holding_period_days,raw_touch_return,signed_touch_return
cl1s,cl1s,2022-01-01,2020-01-07,25.41161824,-1,0.012780481386343185,24.762072812173642,26.061163667826353,2020-01-22,22.98425454,2020-01-08,24.15927533,lower,-1,1,garman_klass,100,20,10,2.0,2.0,1,-0.04928229671059314,0.04928229671059314
cl1s,cl1s,2022-01-01,2020-01-22,22.98425454,-1,0.02091133010268246,22.02299187229996,23.945517207700032,2020-02-05,20.55782373,2020-01-24,21.95129986,lower,-1,1,garman_klass,100,20,10,2.0,2.0,2,-0.0449418395624851,0.0449418395624851
cl1s,cl1s,2022-01-01,2020-01-23,22.51841223,-1,0.021233255263187038,21.562133839997475,23.474690620002526,2020-02-06,20.63883978,2020-01-27,21.52596557,lower,-1,1,garman_klass,100,20,10,2.0,2.0,4,-0.04407267483441035,0.04407267483441035
cl1s,cl1s,2022-01-01,2020-01-24,21.95129986,-1,0.021703052724619778,20.998479423528963,22.90412029647104,2020-02-07,20.38363921,2020-01-31,20.88593874,lower,-1,1,garman_klass,100,20,10,2.0,2.0,7,-0.04853294004430764,0.04853294004430764
cl1s,cl1s,2022-01-01,2020-01-27,21.52596557,-1,0.022100704196601893,20.57448757478239,22.477443565217616,2020-02-10,20.07982901,2020-02-03,20.29857235,lower,-1,1,garman_klass,100,20,10,2.0,2.0,7,-0.05701919460981464,0.05701919460981464
cl1s,cl1s,2022-01-01,2020-01-28,21.66369286,-1,0.022320347844334773,20.696610539543936,22.630775180456066,2020-02-11,20.22970871,2020-02-03,20.29857235,lower,-1,1,garman_klass,100,20,10,2.0,2.0,6,-0.06301421086524772,0.06301421086524772
cl1s,cl1s,2022-01-01,2020-01-29,21.60293082,-1,0.022502995216803844,20.630669522177193,22.575192117822812,2020-02-12,20.72795744,2020-02-03,20.29857235,lower,-1,1,garman_klass,100,20,10,2.0,2.0,5,-0.06037877364271449,0.06037877364271449
cl1s,cl1s,2022-01-01,2020-01-30,21.1208853,-1,0.02265434629590245,20.16392560067553,22.077844999324473,2020-02-13,20.82922751,2020-02-04,20.09603222,lower,-1,1,garman_klass,100,20,10,2.0,2.0,5,-0.04852320655327835,0.04852320655327835
cl1s,cl1s,2022-01-01,2020-01-31,20.88593874,-1,0.023395724112141667,19.908655418831735,21.863222061168262,2020-02-14,21.09533843,2020-02-14,21.09533843,timeout,0,0,garman_klass,100,20,10,2.0,2.0,14,0.010025869203521554,-0.010025869203521554
cl1s,cl1s,2022-01-01,2020-02-05,20.55782373,1,0.02468073959424955,21.572588318209228,19.54305914179077,2020-02-20,21.72432788,2020-02-20,21.72432788,upper,1,1,garman_klass,100,20,10,2.0,2.0,15,0.05674258935773069,0.05674258935773069
