instrument,signal_column,training_end,date,close,primary_signal,vol,tp,sl,timeout_date,timeout_close,touch_date,touch_price,touched_barrier,triple_barrier_label,metalabel,volatility_method,ewma_span,volatility_window,num_days,take_profit_mult,stop_loss_mult,holding_period_days,raw_touch_return,signed_touch_return
cl1s,cl1s,2022-01-01,2020-01-07,25.41161824,-1,0.011968258569583286,24.803352604464283,26.019883875535715,2020-01-22,22.98425454,2020-01-08,24.15927533,lower,-1,1,parkinson,100,20,10,2.0,2.0,1,-0.04928229671059314,0.04928229671059314
cl1s,cl1s,2022-01-01,2020-01-22,22.98425454,-1,0.01980613275741604,22.073796146501035,23.894712933498962,2020-02-05,20.55782373,2020-01-24,21.95129986,lower,-1,1,parkinson,100,20,10,2.0,2.0,2,-0.0449418395624851,0.0449418395624851
cl1s,cl1s,2022-01-01,2020-01-23,22.51841223,-1,0.02008062269359446,21.614044750701094,23.422779709298904,2020-02-06,20.63883978,2020-01-27,21.52596557,lower,-1,1,parkinson,100,20,10,2.0,2.0,4,-0.04407267483441035,0.04407267483441035
cl1s,cl1s,2022-01-01,2020-01-24,21.95129986,-1,0.0206712996988946,21.043776063627273,22.858823656372724,2020-02-07,20.38363921,2020-01-31,20.88593874,lower,-1,1,parkinson,100,20,10,2.0,2.0,7,-0.04853294004430764,0.04853294004430764
cl1s,cl1s,2022-01-01,2020-01-27,21.52596557,-1,0.020989241217625357,20.622338202417943,22.429592937582058,2020-02-10,20.07982901,2020-02-03,20.29857235,lower,-1,1,parkinson,100,20,10,2.0,2.0,7,-0.05701919460981464,0.05701919460981464
cl1s,cl1s,2022-01-01,2020-01-28,21.66369286,-1,0.02121496124934917,20.744504050914596,22.582881669085406,2020-02-11,20.22970871,2020-02-03,20.29857235,lower,-1,1,parkinson,100,20,10,2.0,2.0,6,-0.06301421086524772,0.06301421086524772
cl1s,cl1s,2022-01-01,2020-01-29,21.60293082,-1,0.021399990479128862,20.67832579226144,22.527535847738562,2020-02-12,20.72795744,2020-02-03,20.29857235,lower,-1,1,parkinson,100,20,10,2.0,2.0,5,-0.06037877364271449,0.06037877364271449
cl1s,cl1s,2022-01-01,2020-01-30,21.1208853,-1,0.021587266527428654,20.209000939467302,22.032769660532704,2020-02-13,20.82922751,2020-02-04,20.09603222,lower,-1,1,parkinson,100,20,10,2.0,2.0,5,-0.04852320655327835,0.04852320655327835
cl1s,cl1s,2022-01-01,2020-01-31,20.88593874,-1,0.022347909268440925,19.95242461210453,21.819452867895468,2020-02-14,21.09533843,2020-02-14,21.09533843,timeout,0,0,parkinson,100,20,10,2.0,2.0,14,0.010025869203521554,-0.010025869203521554
cl1s,cl1s,2022-01-01,2020-02-05,20.55782373,1,0.023325772073325254,21.51687795129915,19.598769508700844,2020-02-20,21.72432788,2020-02-19,21.56708051,upper,1,1,parkinson,100,20,10,2.0,2.0,14,0.04909356132513154,0.04909356132513154
cl1s,cl1s,2022-01-01,2020-02-06,20.63883978,1,0.019351288023865213,21.437616046122375,19.840063513877627,2020-02-21,21.52272869,2020-02-19,21.56708051,upper,1,1,parkinson,100,20,10,2.0,2.0,13,0.04497543175365437,0.04497543175365437
cl1s,cl1s,2022-01-01,2020-02-07,20.38363921,1,0.019341838955321284,21.172153343846382,19.595125076153614,2020-02-24,20.73649188,2020-02-19,21.56708051,upper,1,1,parkinson,100,20,10,2.0,2.0,12,0.058058391232681306,0.058058391232681306
cl1s,cl1s,2022-01-01,2020-02-10,20.07982901,1,0.019440872845170196,20.86056781507234,19.299090204927662,2020-02-25,20.11959838,2020-02-14,21.09533843,upper,1,1,parkinson,100,20,10,2.0,2.0,4,0.05057360894329643,0.05057360894329643
cl1s,cl1s,2022-01-01,2020-02-11,20.22970871,1,0.019418308013586377,21.015362139511822,19.44405528048818,2020-02-26,19.6478563,2020-02-14,21.09533843,upper,1,1,parkinson,100,20,10,2.0,2.0,3,0.04279002393999387,0.04279002393999387
cl1s,cl1s,2022-01-01,2020-02-12,20.72795744,1,0.019845925545833663,21.5506884401429,19.905226439857103,2020-02-27,18.98661098,2020-02-19,21.56708051,upper,1,1,parkinson,100,20,10,2.0,2.0,7,0.04048267044299747,0.04048267044299747
cl1s,cl1s,2022-01-01,2020-02-13,20.82922751,1,0.0200318931953295,21.663725231643078,19.99472978835692,2020-02-28,18.04715879,2020-02-20,21.72432788,upper,1,1,parkinson,100,20,10,2.0,2.0,7,0.0429732869147581,0.0429732869147581
cl1s,cl1s,2022-01-01,2020-02-14,21.09533843,1,0.019983857028202708,21.93847088429334,20.252205975706662,2020-03-02,18.84952354,2020-02-25,20.11959838,lower,-1,0,parkinson,100,20,10,2.0,2.0,11,-0.04625382300633718,-0.04625382300633718
cl1s,cl1s,2022-01-01,2020-02-18,21.08324248,1,0.02029592863729348,21.939050449633665,20.227434510366333,2020-03-03,19.02289883,2020-02-25,20.11959838,lower,-1,0,parkinson,100,20,10,2.0,2.0,7,-0.04570663648696982,-0.04570663648696982
cl1s,cl1s,2022-01-01,2020-02-19,21.56708051,1,0.020211530459502195,22.438887919300804,20.695273100699197,2020-03-04,18.86161949,2020-02-25,20.11959838,lower,-1,0,parkinson,100,20,10,2.0,2.0,6,-0.0671153487524121,-0.0671153487524121
cl1s,cl1s,2022-01-01,2020-02-20,21.72432788,1,0.019678731678079375,22.579342318474275,20.869313441525723,2020-03-05,18.50680493,2020-02-24,20.73649188,lower,-1,0,parkinson,100,20,10,2.0,2.0,4,-0.045471418285369825,-0.045471418285369825
cl1s,cl1s,2022-01-01,2020-02-21,21.52272869,1,0.019621955832634305,22.367364753505903,20.6780926264941,2020-03-06,16.64402848,2020-02-25,20.11959838,lower,-1,0,parkinson,100,20,10,2.0,2.0,4,-0.06519295625614285,-0.06519295625614285
cl1s,cl1s,2022-01-01,2020-02-24,20.73649188,1,0.01977857082694681,21.556768226701973,19.916215533298026,2020-03-09,12.55156508,2020-02-26,19.6478563,lower,-1,0,parkinson,100,20,10,2.0,2.0,2,-0.05249854152282962,-0.05249854152282962
cl1s,cl1s,2022-01-01,2020-02-25,20.11959838,1,0.020321981538697378,20.93733859368873,19.30185816631127,2020-03-10,13.8538958,2020-02-27,18.98661098,lower,-1,0,parkinson,100,20,10,2.0,2.0,2,-0.056312625063443256,-0.056312625063443256
cl1s,cl1s,2022-01-01,2020-02-26,19.6478563,1,0.020852296374454484,20.467262145380587,18.828450454619418,2020-03-11,13.29748206,2020-02-28,18.04715879,lower,-1,0,parkinson,100,20,10,2.0,2.0,2,-0.0814693209049987,-0.0814693209049987
cl1s,cl1s,2022-01-01,2020-02-27,18.98661098,1,0.022074418035732804,19.82484775570871,18.14837420429129,2020-03-12,12.70074848,2020-02-28,18.04715879,lower,-1,0,parkinson,100,20,10,2.0,2.0,1,-0.049479719734585204,-0.049479719734585204
cl1s,cl1s,2022-01-01,2020-02-28,18.04715879,1,0.02366668615279737,18.901391676065256,17.192925903934743,2020-03-13,12.7934841,2020-03-03,19.02289883,upper,1,1,parkinson,100,20,10,2.0,2.0,4,0.05406613037286845,0.05406613037286845
cl1s,cl1s,2022-01-01,2020-03-18,8.31173964,1,0.07348594895848688,9.533331789882546,7.090147490117457,2020-04-01,8.10424541,2020-03-19,10.33879856,upper,1,1,parkinson,100,20,10,2.0,2.0,1,0.2438790202528529,0.2438790202528529
cl1s,cl1s,2022-01-01,2020-03-20,9.02998886,1,0.08752873354807891,10.61075583773812,7.449221882261878,2020-04-03,11.30843501,2020-04-03,11.30843501,upper,1,1,parkinson,100,20,10,2.0,2.0,14,0.252319929218606,0.252319929218606
cl1s,cl1s,2022-01-01,2020-03-23,9.32127882,1,0.0895164325782984,10.990094074068102,7.652463565931899,2020-04-06,10.40663321,2020-04-03,11.30843501,upper,1,1,parkinson,100,20,10,2.0,2.0,11,0.21318493185037024,0.21318493185037024
cl1s,cl1s,2022-01-01,2020-03-24,9.5806466,1,0.09004583956957836,11.306041333432852,7.855251866567147,2020-04-07,9.42901621,2020-04-03,11.30843501,upper,1,1,parkinson,100,20,10,2.0,2.0,10,0.18034152413053217,0.18034152413053217
cl1s,cl1s,2022-01-01,2020-03-26,9.01801804,1,0.09134607761811467,10.665539191686795,7.370496888313204,2020-04-09,9.08186241,2020-04-03,11.30843501,upper,1,1,parkinson,100,20,10,2.0,2.0,8,0.25398230074953365,0.25398230074953365
cl1s,cl1s,2022-01-01,2020-03-27,8.58307823,1,0.09217874740325292,10.165433030211059,7.000723429788941,2020-04-13,8.94220284,2020-04-03,11.30843501,upper,1,1,parkinson,100,20,10,2.0,2.0,7,0.3175267318983763,0.3175267318983763
cl1s,cl1s,2022-01-01,2020-03-30,8.0164594,1,0.09199358563004127,9.491385088527299,6.5415337114727015,2020-04-14,8.02443995,2020-04-02,10.10337242,upper,1,1,parkinson,100,20,10,2.0,2.0,3,0.26032852109249105,0.26032852109249105
cl1s,cl1s,2022-01-01,2020-04-21,3.5228399,1,0.18662157816005626,4.83771578348643,2.2079640165135705,2020-05-05,7.47804218,2020-04-23,5.02392899,upper,1,1,parkinson,100,20,10,2.0,2.0,2,0.4261019894772964,0.4261019894772964
cl1s,cl1s,2022-01-01,2020-04-22,4.1957419,1,0.19605278953576175,5.840915707334154,2.5505680926658454,2020-05-06,7.30448827,2020-05-01,6.02262517,upper,1,1,parkinson,100,20,10,2.0,2.0,9,0.4354136440089418,0.4354136440089418
cl1s,cl1s,2022-01-01,2020-04-23,5.02392899,1,0.20009117948482377,7.034416744514199,3.013441235485801,2020-05-07,7.17051683,2020-05-05,7.47804218,upper,1,1,parkinson,100,20,10,2.0,2.0,12,0.48848484819049975,0.48848484819049975
cl1s,cl1s,2022-01-01,2020-04-24,5.15790043,1,0.2005391555717788,7.22662242351103,3.0891784364889703,2020-05-08,7.53284867,2020-05-05,7.47804218,upper,1,1,parkinson,100,20,10,2.0,2.0,11,0.4498229040066988,0.4498229040066988
cl1s,cl1s,2022-01-01,2020-04-27,3.89126136,1,0.20560991372600398,5.4914251850298665,2.291097534970134,2020-05-11,7.35016035,2020-04-30,5.73641346,upper,1,1,parkinson,100,20,10,2.0,2.0,3,0.47417840368347797,0.47417840368347797
cl1s,cl1s,2022-01-01,2020-04-28,3.75728992,1,0.20941135306827102,5.330928252033952,2.1836515879660485,2020-05-12,7.84950844,2020-04-30,5.73641346,upper,1,1,parkinson,100,20,10,2.0,2.0,2,0.5267423015363157,0.5267423015363157
cl1s,cl1s,2022-01-01,2020-04-29,4.585477,1,0.2124409474669272,6.533763156935606,2.637190843064394,2020-05-13,7.70031297,2020-05-05,7.47804218,upper,1,1,parkinson,100,20,10,2.0,2.0,6,0.6308100945659525,0.6308100945659525
cl1s,cl1s,2022-01-01,2020-04-30,5.73641346,1,0.214402478963152,8.196215992363184,3.2766109276368156,2020-05-14,8.35999711,2020-05-14,8.35999711,upper,1,1,parkinson,100,20,10,2.0,2.0,14,0.45735609336639427,0.45735609336639427
cl1s,cl1s,2022-01-01,2020-05-01,6.02262517,1,0.2118156680338054,8.573997917401522,3.471252422598479,2020-05-15,8.85176164,2020-05-15,8.85176164,upper,1,1,parkinson,100,20,10,2.0,2.0,14,0.46975137753757945,0.46975137753757945
cl1s,cl1s,2022-01-01,2020-05-04,6.2083583,1,0.21111388748352447,8.82969961120721,3.58701698879279,2020-05-18,9.49045583,2020-05-15,8.85176164,upper,1,1,parkinson,100,20,10,2.0,2.0,11,0.42578137605234523,0.42578137605234523
cl1s,cl1s,2022-01-01,2020-05-05,7.47804218,1,0.21209101445762132,10.650093284226164,4.305991075773836,2020-05-19,9.58341132,2020-05-19,9.58341132,timeout,0,0,parkinson,100,20,10,2.0,2.0,14,0.28154015306717617,0.28154015306717617
cl1s,cl1s,2022-01-01,2020-05-06,7.30448827,1,0.21206781256214774,10.402581968609535,4.206394571390467,2020-05-20,10.04219165,2020-05-20,10.04219165,timeout,0,0,parkinson,100,20,10,2.0,2.0,14,0.37479742300962027,0.37479742300962027
cl1s,cl1s,2022-01-01,2020-05-07,7.17051683,1,0.2125693569251227,10.21898113274774,4.1220525272522615,2020-05-21,10.17112991,2020-05-21,10.17112991,timeout,0,0,parkinson,100,20,10,2.0,2.0,14,0.41846538417510404,0.41846538417510404
