ticker,barrier,training_end,path,status,rows
cl1s,ewma_d5_tp2.0_sl2.0,2022-01-01,kaushal_label_generator\data\labels\triple_barrier\cl1s\ewma_d5_tp2p0_sl2p0.csv,cached,329
cl1s,ewma_d10_tp2.0_sl2.0,2022-01-01,kaushal_label_generator\data\labels\triple_barrier\cl1s\ewma_d10_tp2p0_sl2p0.csv,cached,324
cl1s,ewma_d20_tp2.0_sl2.0,2022-01-01,kaushal_label_generator\data\labels\triple_barrier\cl1s\ewma_d20_tp2p0_sl2p0.csv,cached,314
cl1s,parkinson_d5_tp2.0_sl2.0,2022-01-01,kaushal_label_generator\data\labels\triple_barrier\cl1s\parkinson_d5_tp2p0_sl2p0.csv,cached,329
cl1s,parkinson_d10_tp2.0_sl2.0,2022-01-01,kaushal_label_generator\data\labels\triple_barrier\cl1s\parkinson_d10_tp2p0_sl2p0.csv,cached,324
cl1s,parkinson_d20_tp2.0_sl2.0,2022-01-01,kaushal_label_generator\data\labels\triple_barrier\cl1s\parkinson_d20_tp2p0_sl2p0.csv,cached,314
cl1s,garman_klass_d5_tp2.0_sl2.0,2022-01-01,kaushal_label_generator\data\labels\triple_barrier\cl1s\garman_klass_d5_tp2p0_sl2p0.csv,cached,329
cl1s,garman_klass_d10_tp2.0_sl2.0,2022-01-01,kaushal_label_generator\data\labels\triple_barrier\cl1s\garman_klass_d10_tp2p0_sl2p0.csv,cached,324
cl1s,garman_klass_d20_tp2.0_sl2.0,2022-01-01,kaushal_label_generator\data\labels\triple_barrier\cl1s\garman_klass_d20_tp2p0_sl2p0.csv,cached,314
ho1s,ewma_d5_tp2.0_sl2.0,2022-01-01,kaushal_label_generator\data\labels\triple_barrier\ho1s\ewma_d5_tp2p0_sl2p0.csv,cached,58
ho1s,ewma_d10_tp2.0_sl2.0,2022-01-01,kaushal_label_generator\data\labels\triple_barrier\ho1s\ewma_d10_tp2p0_sl2p0.csv,cached,53
ho1s,ewma_d20_tp2.0_sl2.0,2022-01-01,kaushal_label_generator\data\labels\triple_barrier\ho1s\ewma_d20_tp2p0_sl2p0.csv,cached,49
ho1s,parkinson_d5_tp2.0_sl2.0,2022-01-01,kaushal_label_generator\data\labels\triple_barrier\ho1s\parkinson_d5_tp2p0_sl2p0.csv,cached,58
ho1s,parkinson_d10_tp2.0_sl2.0,2022-01-01,kaushal_label_generator\data\labels\triple_barrier\ho1s\parkinson_d10_tp2p0_sl2p0.csv,cached,53
ho1s,parkinson_d20_tp2.0_sl2.0,2022-01-01,kaushal_label_generator\data\labels\triple_barrier\ho1s\parkinson_d20_tp2p0_sl2p0.csv,cached,49
ho1s,garman_klass_d5_tp2.0_sl2.0,2022-01-01,kaushal_label_generator\data\labels\triple_barrier\ho1s\garman_klass_d5_tp2p0_sl2p0.csv,cached,58
ho1s,garman_klass_d10_tp2.0_sl2.0,2022-01-01,kaushal_label_generator\data\labels\triple_barrier\ho1s\garman_klass_d10_tp2p0_sl2p0.csv,cached,53
ho1s,garman_klass_d20_tp2.0_sl2.0,2022-01-01,kaushal_label_generator\data\labels\triple_barrier\ho1s\garman_klass_d20_tp2p0_sl2p0.csv,cached,49
