instrument,signal_column,training_end,date,close,primary_signal,vol,tp,sl,timeout_date,timeout_close,touch_date,touch_price,touched_barrier,triple_barrier_label,metalabel,volatility_method,ewma_span,volatility_window,num_days,take_profit_mult,stop_loss_mult,holding_period_days,raw_touch_return,signed_touch_return
ng1s,ng1s,2022-01-01,2020-05-05,0.00252722,-1,0.03775672061193168,0.002336380921070228,0.002718059078929772,2020-05-19,0.0021672,2020-05-06,0.00230221,lower,-1,1,ewma,100,20,10,2.0,2.0,1,-0.08903459136917258,0.08903459136917258
ng1s,ng1s,2022-01-01,2020-05-06,0.00230221,-1,0.03962610468667017,0.002119754771058602,0.0024846652289413976,2020-05-20,0.00209733,2020-05-12,0.00203693,lower,-1,1,ewma,100,20,10,2.0,2.0,6,-0.11522841096164105,0.11522841096164105
ng1s,ng1s,2022-01-01,2020-05-07,0.00224299,-1,0.03938586342390992,0.0020663058043976085,0.002419674195602391,2020-05-21,0.00203471,2020-05-12,0.00203693,lower,-1,1,ewma,100,20,10,2.0,2.0,5,-0.09186844346162915,0.09186844346162915
ng1s,ng1s,2022-01-01,2020-05-08,0.00215891,-1,0.039327618325968844,0.0019891004230397653,0.0023287195769602347,2020-05-22,0.00206657,2020-05-13,0.00191377,lower,-1,1,ewma,100,20,10,2.0,2.0,5,-0.11354804044633637,0.11354804044633637
ng1s,ng1s,2022-01-01,2020-05-11,0.00216246,-1,0.03894044527482867,0.001994045689421988,0.0023308743105780122,2020-05-26,0.00213688,2020-05-13,0.00191377,lower,-1,1,ewma,100,20,10,2.0,2.0,2,-0.1150032832977258,0.1150032832977258
ng1s,ng1s,2022-01-01,2020-05-12,0.00203693,-1,0.03938362692486174,0.0018764866176158828,0.0021973733823841173,2020-05-27,0.00207206,2020-05-27,0.00207206,timeout,0,0,ewma,100,20,10,2.0,2.0,15,0.01724654259105618,-0.01724654259105618
ng1s,ng1s,2022-01-01,2020-05-14,0.00199075,-1,0.03993738952440229,0.001831739283608592,0.0021497607163914077,2020-05-29,0.00203141,2020-05-19,0.0021672,upper,1,0,ewma,100,20,10,2.0,2.0,5,0.08863493658169053,-0.08863493658169053
ng1s,ng1s,2022-01-01,2020-05-15,0.0019493,-1,0.03961387032212286,0.0017948613651621718,0.002103738634837828,2020-06-01,0.00194901,2020-05-18,0.00211154,upper,1,0,ewma,100,20,10,2.0,2.0,3,0.08322987739188425,-0.08322987739188425
ng1s,ng1s,2022-01-01,2020-05-18,0.00211154,-1,0.04094779017801282,0.0019386142062550375,0.0022844657937449624,2020-06-02,0.00195231,2020-06-02,0.00195231,timeout,0,0,ewma,100,20,10,2.0,2.0,15,-0.07540941682373992,0.07540941682373992
ng1s,ng1s,2022-01-01,2020-05-19,0.0021672,-1,0.0407358183425944,0.0019906346689758593,0.0023437653310241415,2020-06-03,0.00200065,2020-06-01,0.00194901,lower,-1,1,ewma,100,20,10,2.0,2.0,13,-0.10067829457364352,0.10067829457364352
ng1s,ng1s,2022-01-01,2020-05-20,0.00209733,-1,0.040561690153546326,0.0019271875007805255,0.002267472499219475,2020-06-04,0.00200175,2020-06-04,0.00200175,timeout,0,0,ewma,100,20,10,2.0,2.0,15,-0.04557222754645196,0.04557222754645196
ng1s,ng1s,2022-01-01,2020-05-21,0.00203471,-1,0.04034650844984949,0.0018705231115840133,0.0021988968884159863,2020-06-05,0.0019578,2020-06-05,0.0019578,timeout,0,0,ewma,100,20,10,2.0,2.0,15,-0.03779899838306189,0.03779899838306189
ng1s,ng1s,2022-01-01,2020-05-27,0.00207206,-1,0.03976111905142103,0.0019072851513166251,0.002236834848683375,2020-06-10,0.0019556,2020-06-10,0.0019556,timeout,0,0,ewma,100,20,10,2.0,2.0,14,-0.0562049361504976,0.0562049361504976
ng1s,ng1s,2022-01-01,2020-05-28,0.00200724,-1,0.0395779310546635,0.0018483551873396745,0.0021661248126603255,2020-06-11,0.00199186,2020-06-11,0.00199186,timeout,0,0,ewma,100,20,10,2.0,2.0,14,-0.007662262609354209,0.007662262609354209
ng1s,ng1s,2022-01-01,2020-05-29,0.00203141,-1,0.03924098568202336,0.0018719809385513617,0.0021908390614486383,2020-06-12,0.00190177,2020-06-12,0.00190177,timeout,0,0,ewma,100,20,10,2.0,2.0,14,-0.06381774235629445,0.06381774235629445
ng1s,ng1s,2022-01-01,2020-06-01,0.00194901,-1,0.03922454662492161,0.0017961119327651231,0.002101908067234877,2020-06-15,0.00183365,2020-06-15,0.00183365,timeout,0,0,ewma,100,20,10,2.0,2.0,14,-0.05918902417124583,0.05918902417124583
ng1s,ng1s,2022-01-01,2020-06-02,0.00195231,-1,0.03884125567011591,0.001800649656285352,0.002103970343714648,2020-06-16,0.00177323,2020-06-16,0.00177323,lower,-1,1,ewma,100,20,10,2.0,2.0,14,-0.09172723594101351,0.09172723594101351
