instrument,signal_column,training_end,date,close,primary_signal,vol,tp,sl,timeout_date,timeout_close,touch_date,touch_price,touched_barrier,triple_barrier_label,metalabel,volatility_method,ewma_span,volatility_window,num_days,take_profit_mult,stop_loss_mult,holding_period_days,raw_touch_return,signed_touch_return
ng1s,ng1s,2022-01-01,2020-05-05,0.00252722,-1,0.04950671352371837,0.002276991286897177,0.0027774487131028234,2020-05-12,0.00203693,2020-05-07,0.00224299,lower,-1,1,garman_klass,100,20,5,2.0,2.0,2,-0.11246745435696148,0.11246745435696148
ng1s,ng1s,2022-01-01,2020-05-06,0.00230221,-1,0.04903548391784383,0.0020764300371390013,0.0025279899628609984,2020-05-13,0.00191377,2020-05-12,0.00203693,lower,-1,1,garman_klass,100,20,5,2.0,2.0,6,-0.11522841096164105,0.11522841096164105
ng1s,ng1s,2022-01-01,2020-05-07,0.00224299,-1,0.04879315190961626,0.0020241048963964997,0.0024618751036035004,2020-05-14,0.00199075,2020-05-13,0.00191377,lower,-1,1,garman_klass,100,20,5,2.0,2.0,6,-0.1467772928100437,0.1467772928100437
ng1s,ng1s,2022-01-01,2020-05-08,0.00215891,-1,0.04876578262957129,0.0019483481284463843,0.0023694718715536155,2020-05-15,0.0019493,2020-05-13,0.00191377,lower,-1,1,garman_klass,100,20,5,2.0,2.0,5,-0.11354804044633637,0.11354804044633637
ng1s,ng1s,2022-01-01,2020-05-11,0.00216246,-1,0.04827477235942844,0.001953675471527261,0.0023712445284727393,2020-05-18,0.00211154,2020-05-13,0.00191377,lower,-1,1,garman_klass,100,20,5,2.0,2.0,2,-0.1150032832977258,0.1150032832977258
ng1s,ng1s,2022-01-01,2020-05-12,0.00203693,-1,0.04889744046013478,0.0018377286732070754,0.002236131326792925,2020-05-19,0.0021672,2020-05-19,0.0021672,timeout,0,0,garman_klass,100,20,5,2.0,2.0,7,0.0639540877693392,-0.0639540877693392
ng1s,ng1s,2022-01-01,2020-05-14,0.00199075,-1,0.04892756175602768,0.0017959449128683756,0.002185555087131624,2020-05-21,0.00203471,2020-05-21,0.00203471,timeout,0,0,garman_klass,100,20,5,2.0,2.0,7,0.022082129850558907,-0.022082129850558907
ng1s,ng1s,2022-01-01,2020-05-15,0.0019493,-1,0.0482120902909298,0.001761340344791781,0.0021372596552082187,2020-05-22,0.00206657,2020-05-19,0.0021672,upper,1,0,garman_klass,100,20,5,2.0,2.0,4,0.111783717231827,-0.111783717231827
ng1s,ng1s,2022-01-01,2020-05-18,0.00211154,-1,0.04547230654999679,0.0019195068116548393,0.0023035731883451604,2020-05-26,0.00213688,2020-05-26,0.00213688,timeout,0,0,garman_klass,100,20,5,2.0,2.0,8,0.012000719853755948,-0.012000719853755948
ng1s,ng1s,2022-01-01,2020-05-19,0.0021672,-1,0.043860674057185536,0.0019770902943665354,0.002357309705633465,2020-05-27,0.00207206,2020-05-27,0.00207206,timeout,0,0,garman_klass,100,20,5,2.0,2.0,8,-0.04389996308600963,0.04389996308600963
ng1s,ng1s,2022-01-01,2020-05-20,0.00209733,-1,0.04367969740947653,0.0019141085204643653,0.0022805514795356347,2020-05-28,0.00200724,2020-05-28,0.00200724,timeout,0,0,garman_klass,100,20,5,2.0,2.0,8,-0.04295461372316234,0.04295461372316234
ng1s,ng1s,2022-01-01,2020-05-21,0.00203471,-1,0.043186416349610776,0.0018589663335785668,0.0022104536664214326,2020-05-29,0.00203141,2020-05-29,0.00203141,timeout,0,0,garman_klass,100,20,5,2.0,2.0,8,-0.0016218527456001164,0.0016218527456001164
ng1s,ng1s,2022-01-01,2020-05-27,0.00207206,-1,0.040692619433059775,0.0019034249019550683,0.002240695098044932,2020-06-03,0.00200065,2020-06-03,0.00200065,timeout,0,0,garman_klass,100,20,5,2.0,2.0,7,-0.034463287742632964,0.034463287742632964
ng1s,ng1s,2022-01-01,2020-05-28,0.00200724,-1,0.040507014688102784,0.001844625399674905,0.002169854600325095,2020-06-04,0.00200175,2020-06-04,0.00200175,timeout,0,0,garman_klass,100,20,5,2.0,2.0,7,-0.0027350989418305494,0.0027350989418305494
ng1s,ng1s,2022-01-01,2020-05-29,0.00203141,-1,0.04032920707100381,0.0018675596909277844,0.002195260309072216,2020-06-05,0.0019578,2020-06-05,0.0019578,timeout,0,0,garman_klass,100,20,5,2.0,2.0,7,-0.03623591495562195,0.03623591495562195
ng1s,ng1s,2022-01-01,2020-06-01,0.00194901,-1,0.03960907695609746,0.001794613025843593,0.002103406974156407,2020-06-08,0.00196549,2020-06-08,0.00196549,timeout,0,0,garman_klass,100,20,5,2.0,2.0,7,0.00845557488160642,-0.00845557488160642
ng1s,ng1s,2022-01-01,2020-06-02,0.00195231,-1,0.03944651969812495,0.0017982863302563074,0.002106333669743693,2020-06-09,0.00194132,2020-06-09,0.00194132,timeout,0,0,garman_klass,100,20,5,2.0,2.0,7,-0.005629228964662336,0.005629228964662336
ng1s,ng1s,2022-01-01,2020-08-03,0.00214977,-1,0.034634428103310765,0.0020008578909926915,0.0022986821090073086,2020-08-10,0.00220298,2020-08-10,0.00220298,timeout,0,0,garman_klass,100,20,5,2.0,2.0,7,0.024751485042586063,-0.024751485042586063
ng1s,ng1s,2022-01-01,2020-08-06,0.00221526,-1,0.03537411814272312,0.0020585342620863026,0.002371985737913698,2020-08-13,0.00223265,2020-08-13,0.00223265,timeout,0,0,garman_klass,100,20,5,2.0,2.0,7,0.00785009434558459,-0.00785009434558459
ng1s,ng1s,2022-01-01,2020-08-10,0.00220298,-1,0.03542823181476074,0.002046884627753437,0.0023590753722465634,2020-08-17,0.0023933,2020-08-14,0.00241069,upper,1,0,garman_klass,100,20,5,2.0,2.0,4,0.09428592179683881,-0.09428592179683881
