instrument,signal_column,training_end,date,close,primary_signal,vol,tp,sl,timeout_date,timeout_close,touch_date,touch_price,touched_barrier,triple_barrier_label,metalabel,volatility_method,ewma_span,volatility_window,num_days,take_profit_mult,stop_loss_mult,holding_period_days,raw_touch_return,signed_touch_return
ng1s,ng1s,2022-01-01,2020-05-05,0.00252722,-1,0.04859869560116246,0.0022815808090056603,0.00277285919099434,2020-05-12,0.00203693,2020-05-07,0.00224299,lower,-1,1,parkinson,100,20,5,2.0,2.0,2,-0.11246745435696148,0.11246745435696148
ng1s,ng1s,2022-01-01,2020-05-06,0.00230221,-1,0.04859578226074894,0.002078454608242962,0.002525965391757037,2020-05-13,0.00191377,2020-05-12,0.00203693,lower,-1,1,parkinson,100,20,5,2.0,2.0,6,-0.11522841096164105,0.11522841096164105
ng1s,ng1s,2022-01-01,2020-05-07,0.00224299,-1,0.0479362060966493,0.002027949138174553,0.0024580308618254464,2020-05-14,0.00199075,2020-05-13,0.00191377,lower,-1,1,parkinson,100,20,5,2.0,2.0,6,-0.1467772928100437,0.1467772928100437
ng1s,ng1s,2022-01-01,2020-05-08,0.00215891,-1,0.048013619776397745,0.0019515958322570744,0.0023662241677429256,2020-05-15,0.0019493,2020-05-13,0.00191377,lower,-1,1,parkinson,100,20,5,2.0,2.0,5,-0.11354804044633637,0.11354804044633637
ng1s,ng1s,2022-01-01,2020-05-11,0.00216246,-1,0.04762267291548108,0.001956495749454378,0.0023684242505456225,2020-05-18,0.00211154,2020-05-13,0.00191377,lower,-1,1,parkinson,100,20,5,2.0,2.0,2,-0.1150032832977258,0.1150032832977258
ng1s,ng1s,2022-01-01,2020-05-12,0.00203693,-1,0.04852567686531713,0.0018392431860454594,0.0022346168139545414,2020-05-19,0.0021672,2020-05-19,0.0021672,timeout,0,0,parkinson,100,20,5,2.0,2.0,7,0.0639540877693392,-0.0639540877693392
ng1s,ng1s,2022-01-01,2020-05-14,0.00199075,-1,0.04837447094199654,0.0017981470439444407,0.0021833529560555593,2020-05-21,0.00203471,2020-05-21,0.00203471,timeout,0,0,parkinson,100,20,5,2.0,2.0,7,0.022082129850558907,-0.022082129850558907
ng1s,ng1s,2022-01-01,2020-05-15,0.0019493,-1,0.04769624271900651,0.0017633514281356812,0.0021352485718643187,2020-05-22,0.00206657,2020-05-19,0.0021672,upper,1,0,parkinson,100,20,5,2.0,2.0,4,0.111783717231827,-0.111783717231827
ng1s,ng1s,2022-01-01,2020-05-18,0.00211154,-1,0.04486899429633929,0.0019220546475670153,0.0023010253524329842,2020-05-26,0.00213688,2020-05-26,0.00213688,timeout,0,0,parkinson,100,20,5,2.0,2.0,8,0.012000719853755948,-0.012000719853755948
ng1s,ng1s,2022-01-01,2020-05-19,0.0021672,-1,0.04320639320840405,0.0019799262092774937,0.0023544737907225067,2020-05-27,0.00207206,2020-05-27,0.00207206,timeout,0,0,parkinson,100,20,5,2.0,2.0,8,-0.04389996308600963,0.04389996308600963
