instrument,signal_column,training_end,date,close,primary_signal,vol,tp,sl,timeout_date,timeout_close,touch_date,touch_price,touched_barrier,triple_barrier_label,metalabel,volatility_method,ewma_span,volatility_window,num_days,take_profit_mult,stop_loss_mult,holding_period_days,raw_touch_return,signed_touch_return
rb1s,rb1s,2022-01-01,2020-01-03,5.76461896,1,0.018872483042318887,5.98220430713606,5.54703361286394,2020-02-03,4.81826959,2020-01-08,5.43498613,lower,-1,0,ewma,100,20,20,2.0,2.0,5,-0.05718206741629972,-0.05718206741629972
rb1s,rb1s,2022-01-01,2020-01-06,5.7830784,1,0.01868610369166329,5.999204805278835,5.566951994721164,2020-02-04,4.71854968,2020-01-08,5.43498613,lower,-1,0,ewma,100,20,20,2.0,2.0,2,-0.06019151841344561,-0.06019151841344561
rb1s,rb1s,2022-01-01,2020-01-07,5.67693663,-1,0.018713313396305546,5.464468041423687,5.8894052185763135,2020-02-05,4.85946535,2020-01-08,5.43498613,lower,-1,1,ewma,100,20,20,2.0,2.0,1,-0.04261990502437574,0.04261990502437574
rb1s,rb1s,2022-01-01,2020-01-08,5.43498613,1,0.01955782882726559,5.647579186818205,5.222393073181795,2020-02-06,4.89771856,2020-01-22,5.20688021,lower,-1,0,ewma,100,20,20,2.0,2.0,14,-0.04196991759388369,-0.04196991759388369
rb1s,rb1s,2022-01-01,2020-01-09,5.44784181,1,0.019365361701858926,5.658840664290319,5.2368429557096805,2020-02-07,4.98239874,2020-01-22,5.20688021,lower,-1,0,ewma,100,20,20,2.0,2.0,13,-0.044230652872059184,-0.044230652872059184
rb1s,rb1s,2022-01-01,2020-01-10,5.47058647,1,0.019180128112998913,5.680439568695677,5.2607333713043225,2020-02-10,4.97389803,2020-01-22,5.20688021,lower,-1,0,ewma,100,20,20,2.0,2.0,12,-0.04820438566251206,-0.04820438566251206
rb1s,rb1s,2022-01-01,2020-01-13,5.46300492,1,0.01899096437903399,5.670500383676416,5.255509456323586,2020-02-11,4.95068454,2020-01-22,5.20688021,lower,-1,0,ewma,100,20,20,2.0,2.0,9,-0.0468834851424591,-0.0468834851424591
rb1s,rb1s,2022-01-01,2020-01-14,5.45344557,1,0.018804375851879496,5.658542850372094,5.248348289627906,2020-02-12,5.16908748,2020-01-22,5.20688021,lower,-1,0,ewma,100,20,20,2.0,2.0,8,-0.04521276628419724,-0.04521276628419724
rb1s,rb1s,2022-01-01,2020-01-15,5.39543019,1,0.018681314270273277,5.597017644005421,5.19384273599458,2020-02-13,5.16647188,2020-01-23,5.14293144,lower,-1,0,ewma,100,20,20,2.0,2.0,8,-0.0467986316397877,-0.0467986316397877
rb1s,rb1s,2022-01-01,2020-01-16,5.4547641,1,0.018557284471462022,5.657215318256837,5.252312881743163,2020-02-14,5.17660734,2020-01-22,5.20688021,lower,-1,0,ewma,100,20,20,2.0,2.0,6,-0.04544355822830182,-0.04544355822830182
rb1s,rb1s,2022-01-01,2020-01-17,5.40795624,1,0.018415387316972558,5.607135457505677,5.208777022494322,2020-02-18,5.27959675,2020-01-22,5.20688021,lower,-1,0,ewma,100,20,20,2.0,2.0,5,-0.03718151942738357,-0.03718151942738357
rb1s,rb1s,2022-01-01,2020-01-21,5.39444129,1,0.018235959742748813,5.591186918398123,5.197695661601876,2020-02-19,5.43816775,2020-01-23,5.14293144,lower,-1,0,ewma,100,20,20,2.0,2.0,2,-0.046623892351231766,-0.046623892351231766
rb1s,rb1s,2022-01-01,2020-01-22,5.20688021,1,0.018726162907818936,5.401889984107917,5.0118704358920825,2020-02-20,5.45909258,2020-01-24,4.98893775,lower,-1,0,ewma,100,20,20,2.0,2.0,2,-0.04185663030646136,-0.04185663030646136
rb1s,rb1s,2022-01-01,2020-01-23,5.14293144,-1,0.01861285304358122,4.951482185788133,5.334380694211867,2020-02-21,5.38781387,2020-01-27,4.88137104,lower,-1,1,ewma,100,20,20,2.0,2.0,4,-0.05085823193474259,0.05085823193474259
rb1s,rb1s,2022-01-01,2020-01-24,4.98893775,-1,0.01888716251921194,4.800483993835036,5.177391506164963,2020-02-24,5.24097361,2020-02-04,4.71854968,lower,-1,1,ewma,100,20,20,2.0,2.0,11,-0.05419752331044825,0.05419752331044825
rb1s,rb1s,2022-01-01,2020-01-27,4.88137104,-1,0.018915803276250538,4.696700931377947,5.066041148622054,2020-02-25,5.02285464,2020-02-12,5.16908748,upper,1,0,ewma,100,20,20,2.0,2.0,16,0.05894172715868762,-0.05894172715868762
rb1s,rb1s,2022-01-01,2020-01-28,4.95101149,-1,0.01886081129965071,4.764251303089415,5.137771676910584,2020-02-26,4.78607472,2020-02-04,4.71854968,lower,-1,1,ewma,100,20,20,2.0,2.0,7,-0.046952387500922566,0.046952387500922566
rb1s,rb1s,2022-01-01,2020-01-29,5.03765338,-1,0.018858717623295853,4.847646014845076,5.227660745154924,2020-02-27,4.65177707,2020-02-03,4.81826959,lower,-1,1,ewma,100,20,20,2.0,2.0,5,-0.04354880605143985,0.04354880605143985
rb1s,rb1s,2022-01-01,2020-01-30,4.92223985,-1,0.01892461743774887,4.735936837803815,5.1085428621961855,2020-02-28,4.53614036,2020-02-04,4.71854968,lower,-1,1,ewma,100,20,20,2.0,2.0,5,-0.04138160191442131,0.04138160191442131
rb1s,rb1s,2022-01-01,2020-01-31,4.91766254,-1,0.01873651767523352,4.733382797796913,5.101942282203088,2020-03-02,4.70990134,2020-02-04,4.71854968,lower,-1,1,ewma,100,20,20,2.0,2.0,4,-0.04048932971313657,0.04048932971313657
rb1s,rb1s,2022-01-01,2020-02-03,4.81826959,-1,0.018737262799900043,4.637707222902806,4.9988319570971935,2020-03-03,4.68451021,2020-02-12,5.16908748,upper,1,0,ewma,100,20,20,2.0,2.0,9,0.07280993382522616,-0.07280993382522616
rb1s,rb1s,2022-01-01,2020-02-04,4.71854968,1,0.018740395166220922,4.89540465122929,4.541694708770709,2020-03-04,4.75854217,2020-02-06,4.89771856,upper,1,1,ewma,100,20,20,2.0,2.0,2,0.03797117592285271,0.03797117592285271
rb1s,rb1s,2022-01-01,2020-02-05,4.85946535,1,0.019078355549903798,5.044886565459475,4.674044134540525,2020-03-05,4.65544807,2020-02-12,5.16908748,upper,1,1,ewma,100,20,20,2.0,2.0,7,0.06371526653647197,0.06371526653647197
rb1s,rb1s,2022-01-01,2020-02-06,4.89771856,1,0.018935427052663014,5.083199345034708,4.712237774965293,2020-03-06,4.24919002,2020-02-12,5.16908748,upper,1,1,ewma,100,20,20,2.0,2.0,6,0.05540720984180014,0.05540720984180014
rb1s,rb1s,2022-01-01,2020-02-07,4.98239874,1,0.01892754577270386,5.171007900418424,4.793789579581576,2020-03-09,3.47797274,2020-02-14,5.17660734,upper,1,1,ewma,100,20,20,2.0,2.0,7,0.03897893567627242,0.03897893567627242
rb1s,rb1s,2022-01-01,2020-02-10,4.97389803,1,0.0187393910769992,5.160313670722571,4.787482389277429,2020-03-10,3.53976801,2020-02-12,5.16908748,upper,1,1,ewma,100,20,20,2.0,2.0,2,0.03924275263037513,0.03924275263037513
