instrument,signal_column,training_end,date,close,primary_signal,vol,tp,sl,timeout_date,timeout_close,touch_date,touch_price,touched_barrier,triple_barrier_label,metalabel,volatility_method,ewma_span,volatility_window,num_days,take_profit_mult,stop_loss_mult,holding_period_days,raw_touch_return,signed_touch_return
rb1s,rb1s,2022-01-01,2020-01-03,5.76461896,1,0.014213304477378005,5.928487528949092,5.600750391050908,2020-01-17,5.40795624,2020-01-08,5.43498613,lower,-1,0,garman_klass,100,20,10,2.0,2.0,5,-0.05718206741629972,-0.05718206741629972
rb1s,rb1s,2022-01-01,2020-01-06,5.7830784,1,0.014946178904428169,5.955948248769468,5.6102085512305315,2020-01-21,5.39444129,2020-01-08,5.43498613,lower,-1,0,garman_klass,100,20,10,2.0,2.0,2,-0.06019151841344561,-0.06019151841344561
rb1s,rb1s,2022-01-01,2020-01-07,5.67693663,-1,0.014455152851614759,5.512814656568839,5.841058603431162,2020-01-22,5.20688021,2020-01-08,5.43498613,lower,-1,1,garman_klass,100,20,10,2.0,2.0,1,-0.04261990502437574,0.04261990502437574
rb1s,rb1s,2022-01-01,2020-01-08,5.43498613,1,0.020267489038402902,5.655293173627294,5.214679086372707,2020-01-23,5.14293144,2020-01-22,5.20688021,lower,-1,0,garman_klass,100,20,10,2.0,2.0,14,-0.04196991759388369,-0.04196991759388369
rb1s,rb1s,2022-01-01,2020-01-09,5.44784181,1,0.02039700892430859,5.670081166033583,5.225602453966418,2020-01-24,4.98893775,2020-01-22,5.20688021,lower,-1,0,garman_klass,100,20,10,2.0,2.0,13,-0.044230652872059184,-0.044230652872059184
rb1s,rb1s,2022-01-01,2020-01-10,5.47058647,1,0.02026452821005984,5.6923041776937735,5.248868762306226,2020-01-27,4.88137104,2020-01-22,5.20688021,lower,-1,0,garman_klass,100,20,10,2.0,2.0,12,-0.04820438566251206,-0.04820438566251206
rb1s,rb1s,2022-01-01,2020-01-13,5.46300492,1,0.020235683267406317,5.684100194498805,5.241909645501195,2020-01-28,4.95101149,2020-01-22,5.20688021,lower,-1,0,garman_klass,100,20,10,2.0,2.0,9,-0.0468834851424591,-0.0468834851424591
rb1s,rb1s,2022-01-01,2020-01-14,5.45344557,1,0.020188710539870286,5.673641638115336,5.233249501884665,2020-01-29,5.03765338,2020-01-22,5.20688021,lower,-1,0,garman_klass,100,20,10,2.0,2.0,8,-0.04521276628419724,-0.04521276628419724
rb1s,rb1s,2022-01-01,2020-01-15,5.39543019,1,0.020277944296338064,5.614246655695202,5.176613724304799,2020-01-30,4.92223985,2020-01-23,5.14293144,lower,-1,0,garman_klass,100,20,10,2.0,2.0,8,-0.0467986316397877,-0.0467986316397877
rb1s,rb1s,2022-01-01,2020-01-16,5.4547641,1,0.020319899836416633,5.6764446202865635,5.233083579713438,2020-01-31,4.91766254,2020-01-22,5.20688021,lower,-1,0,garman_klass,100,20,10,2.0,2.0,6,-0.04544355822830182,-0.04544355822830182
rb1s,rb1s,2022-01-01,2020-01-17,5.40795624,1,0.020233089733605693,5.626795567758665,5.189116912241334,2020-02-03,4.81826959,2020-01-23,5.14293144,lower,-1,0,garman_klass,100,20,10,2.0,2.0,6,-0.0490064616351259,-0.0490064616351259
