ticker,barrier,feature_selection,model,rank,feature
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,1,primary_signal
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,2,open
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,3,high
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,4,low
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,5,close
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,6,volume
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,7,open_interest
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,8,log_ret
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,9,ret_1d
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,10,ret_2d
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,11,ret_3d
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,12,ret_5d
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,13,ret_10d
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,14,ret_20d
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,15,ret_63d
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,16,ret_126d
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,17,ret_252d
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,18,mom_sign_5d
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,19,mom_sign_20d
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,20,mom_sign_63d
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,21,mom_sign_126d
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,22,mom_sign_252d
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,23,roc_5d
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,24,roc_20d
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,25,roc_63d
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,26,ret_spread_5_20
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,27,ret_spread_20_63
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,28,price_vs_sma5
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,29,price_vs_sma10
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,30,price_vs_sma20
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,31,price_vs_sma50
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,32,price_vs_sma100
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,33,price_vs_sma200
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,34,price_vs_ema5
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,35,price_vs_ema10
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,36,price_vs_ema20
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,37,price_vs_ema50
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,38,sma5_vs_sma20
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,39,sma10_vs_sma50
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,40,sma20_vs_sma50
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,41,sma50_vs_sma100
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,42,sma50_vs_sma200
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,43,sma100_vs_sma200
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,44,ema5_vs_ema20
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,45,ema12_vs_ema26
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,46,ema20_vs_ema50
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,47,ema20_vs_ema100
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,48,sma20_slope
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,49,sma50_slope
cl1s,ewma_d10_tp2.0_sl2.0,none,logistic,50,sma100_slope
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,1,primary_signal
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,2,open
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,3,high
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,4,low
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,5,close
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,6,volume
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,7,open_interest
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,8,log_ret
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,9,ret_1d
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,10,ret_2d
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,11,ret_3d
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,12,ret_5d
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,13,ret_10d
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,14,ret_20d
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,15,ret_63d
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,16,ret_126d
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,17,ret_252d
cl1s,ewma_d10_tp2.0_sl2.0,none,random_forest,18,mom_sign_5d
