feature,beta
log_ret,-0.36956759012230284
ret_1d,-0.33591940323557046
ret_2d,-0.23945865024065757
ret_3d,-0.3112301615594004
ret_5d,0.1807913826477342
ret_10d,-0.6365294922833863
ret_20d,-0.21296943200893026
ret_63d,-0.0922580863233995
ret_126d,-0.9714389240340419
ret_252d,0.1433032292542332
mom_sign_5d,-0.38790368534162845
mom_sign_20d,-0.9945236582396625
mom_sign_63d,-0.4790803928894439
mom_sign_126d,-0.04704141597454112
mom_sign_252d,0.5416481437024778
roc_5d,0.2026000510132801
roc_20d,-0.2081570027807082
roc_63d,-0.10509547236011219
ret_spread_5_20,0.369810581329952
ret_spread_20_63,-0.0311371014839477
price_vs_sma5,-0.3936568538740923
price_vs_sma10,-0.3932963077182817
price_vs_sma20,-0.3776258002093529
price_vs_sma50,-0.5301758254271772
price_vs_sma100,-0.5007719539868333
price_vs_sma200,-0.5948405421741052
price_vs_ema5,-0.3612014599555396
price_vs_ema10,-0.3848652088717589
price_vs_ema20,-0.41325987945336934
price_vs_ema50,-0.5240001944988621
sma5_vs_sma20,-0.2536054287594009
sma10_vs_sma50,-0.47361486096081845
sma20_vs_sma50,-0.4318724941155056
sma50_vs_sma100,-0.14995713903441804
sma50_vs_sma200,-0.36498725665685705
sma100_vs_sma200,-0.36944308605608733
ema5_vs_ema20,-0.37445886220105135
ema12_vs_ema26,-0.39203451958698665
ema20_vs_ema50,-0.46317571828255655
ema20_vs_ema100,-0.4860153137533757
sma20_slope,-0.24620243253044952
sma50_slope,-0.4788604343044066
sma100_slope,-0.42799466987298074
ema20_slope,-0.4183887738693134
ema50_slope,-0.5351845249385908
macd_line,-0.33483215114994214
macd_signal,-0.22257895934008048
macd_hist,-0.44221803250008146
macd_hist_chg,-0.14769893288470354
macd_zscore,-0.5527145419625551
vol_5d,0.4797241890961673
vol_10d,0.554109053076072
vol_20d,0.26315771037739255
vol_63d,0.44439345727683477
vol_126d,0.5877765226255908
vol_252d,-0.24570496880396814
ewma_vol_5d,0.68023623383421
ewma_vol_10d,0.632933941445417
ewma_vol_20d,0.5309448986933798
ewma_vol_63d,0.5608560112014592
vol_ratio_5_20d,0.9971875498684558
vol_ratio_20_63d,-0.1923053745456446
vol_ratio_63_126d,0.39838936284491266
park_vol_5d,0.41378277340396064
park_vol_10d,0.42440705116623434
park_vol_20d,0.3278825240426359
park_vol_63d,0.38605143114697626
gk_vol_5d,0.36288757687006734
gk_vol_10d,0.4244095357638746
gk_vol_20d,0.33829443572257445
gk_vol_63d,0.3597588375390247
hl_range,0.40315864273829183
co_range,0.15181978481909822
intraday_ret,-0.3082943796120067
overnight_ret,-0.2775346368120396
true_range,0.41627818699784297
atr_5d,0.0853376591424436
atr_5d_pct,0.5280092398523188
atr_10d,-0.014468228227883797
atr_10d_pct,0.44862824833470294
