date,instrument,weight
2022-01-03,cl1s,0.1351027262564132
2022-01-03,ho1s,0.0
2022-01-03,ng1s,0.0
2022-01-03,rb1s,0.14051335196794293
2022-01-04,cl1s,0.1369861498314871
2022-01-04,ho1s,0.0
2022-01-04,ng1s,0.0
2022-01-04,rb1s,0.1426877364133883
2022-01-05,cl1s,0.1389667840824856
2022-01-05,ho1s,0.0
2022-01-05,ng1s,0.0
2022-01-05,rb1s,0.14498915436534868
2022-01-06,cl1s,0.14000481888664865
2022-01-06,ho1s,0.0
2022-01-06,ng1s,0.0
2022-01-06,rb1s,0.14738520526996018
2022-01-07,cl1s,0.14199431263952703
2022-01-07,ho1s,0.0
2022-01-07,ng1s,0.0
2022-01-07,rb1s,0.1497633689472757
2022-01-10,cl1s,0.14390889276471222
2022-01-10,ho1s,0.0
2022-01-10,ng1s,0.0
2022-01-10,rb1s,0.15155539652267183
2022-01-11,cl1s,0.14109620476760418
2022-01-11,ho1s,0.0
2022-01-11,ng1s,0.0
2022-01-11,rb1s,0.1486384570327078
2022-01-12,cl1s,0.14266226365878842
2022-01-12,ho1s,0.0
2022-01-12,ng1s,0.0
2022-01-12,rb1s,0.15055165027661044
2022-01-13,cl1s,0.14465711156656488
2022-01-13,ho1s,0.0
2022-01-13,ng1s,-0.062328597238244264
2022-01-13,rb1s,0.15290459823864952
2022-01-14,cl1s,0.14583039888236177
2022-01-14,ho1s,0.0
2022-01-14,ng1s,-0.06337200600676521
2022-01-14,rb1s,-0.15480369317315434
2022-01-17,cl1s,0.0
2022-01-17,ho1s,0.0
2022-01-17,ng1s,0.0
2022-01-17,rb1s,0.0
2022-01-18,cl1s,0.14737111598148864
2022-01-18,ho1s,0.0
2022-01-18,ng1s,-0.0644329757185775
2022-01-18,rb1s,-0.1573879000517852
2022-01-19,cl1s,0.14962225903979315
2022-01-19,ho1s,0.0
2022-01-19,ng1s,0.0
2022-01-19,rb1s,0.15977553968968317
2022-01-20,cl1s,0.1518714776329592
2022-01-20,ho1s,0.0
2022-01-20,ng1s,0.0
2022-01-20,rb1s,0.1624459032283958
2022-01-21,cl1s,0.15401286760623553
2022-01-21,ho1s,0.0
2022-01-21,ng1s,0.0
2022-01-21,rb1s,-0.16435021891279422
2022-01-24,cl1s,0.1533415914515623
2022-01-24,ho1s,0.0
2022-01-24,ng1s,0.0
2022-01-24,rb1s,0.16430136640184007
2022-01-25,cl1s,0.15300107165594642
2022-01-25,ho1s,0.0
2022-01-25,ng1s,-0.06604597752147308
2022-01-25,rb1s,0.16395559266402224
2022-01-26,cl1s,0.15422328688657466
2022-01-26,ho1s,0.0
2022-01-26,ng1s,-0.06663680250120758
2022-01-26,rb1s,0.16396467002851725
2022-01-27,cl1s,0.15594548542706313
2022-01-27,ho1s,0.0
2022-01-27,ng1s,-0.06632494215561513
2022-01-27,rb1s,0.16657092762442557
2022-01-28,cl1s,0.1585512964231318
2022-01-28,ho1s,0.0
2022-01-28,ng1s,-0.06497993223599391
2022-01-28,rb1s,0.16931838370087174
2022-01-31,cl1s,0.1605073914308646
2022-01-31,ho1s,0.0
2022-01-31,ng1s,-0.06532167300358528
2022-01-31,rb1s,0.172120232786009
2022-02-01,cl1s,0.1631181672378079
2022-02-01,ho1s,0.0
2022-02-01,ng1s,-0.06599605402083447
2022-02-01,rb1s,0.17489268364982707
2022-02-02,cl1s,0.16577948803204398
2022-02-02,ho1s,0.0
2022-02-02,ng1s,-0.059391020189981915
2022-02-02,rb1s,0.1773307755940531
2022-02-03,cl1s,0.0
2022-02-03,ho1s,0.0
2022-02-03,ng1s,-0.056354726609750806
2022-02-03,rb1s,0.1796423793510092
2022-02-04,cl1s,0.0
2022-02-04,ho1s,0.0
2022-02-04,ng1s,-0.05602770796644908
2022-02-04,rb1s,0.18203218218977152
2022-02-07,cl1s,0.0
2022-02-07,ho1s,0.0
2022-02-07,ng1s,0.0
2022-02-07,rb1s,0.1850383799333417
2022-02-08,cl1s,0.0
2022-02-08,ho1s,0.0
2022-02-08,ng1s,-0.05639105692265657
2022-02-08,rb1s,-0.18178042919844592
2022-02-09,cl1s,0.0
2022-02-09,ho1s,0.0
2022-02-09,ng1s,-0.056480296369032186
2022-02-09,rb1s,0.1844541735717304
2022-02-10,cl1s,0.17226331304821843
2022-02-10,ho1s,0.0
2022-02-10,ng1s,-0.057385525209494324
2022-02-10,rb1s,0.18755395315176338
2022-02-11,cl1s,0.0
2022-02-11,ho1s,0.0
2022-02-11,ng1s,-0.05834387937982029
2022-02-11,rb1s,0.18589240765100884
2022-02-14,cl1s,0.0
2022-02-14,ho1s,0.0
2022-02-14,ng1s,-0.05819650005442509
2022-02-14,rb1s,-0.18814331159308126
2022-02-15,cl1s,0.16079259239832455
2022-02-15,ho1s,0.0
2022-02-15,ng1s,-0.05901179113987399
2022-02-15,rb1s,0.1746649768300519
2022-02-16,cl1s,0.16240807724314218
2022-02-16,ho1s,0.0
2022-02-16,ng1s,-0.05766789392869505
2022-02-16,rb1s,0.17759464673349792
2022-02-17,cl1s,0.1616989118884754
2022-02-17,ho1s,0.0
2022-02-17,ng1s,-0.057834317326265414
2022-02-17,rb1s,0.1789363774210753
2022-02-18,cl1s,0.16439169566088913
2022-02-18,ho1s,0.0
2022-02-18,ng1s,-0.05873479271081962
2022-02-18,rb1s,0.18190129728188933
2022-02-21,cl1s,0.0
2022-02-21,ho1s,0.0
2022-02-21,ng1s,0.0
2022-02-21,rb1s,0.0
2022-02-22,cl1s,0.165765220807373
2022-02-22,ho1s,0.0
2022-02-22,ng1s,-0.05965353962425383
2022-02-22,rb1s,0.1838230640720242
2022-02-23,cl1s,0.16851758657833796
2022-02-23,ho1s,0.0
2022-02-23,ng1s,-0.0604641311196058
2022-02-23,rb1s,0.18678914728583396
2022-02-24,cl1s,0.17127082540884278
2022-02-24,ho1s,0.0
2022-02-24,ng1s,-0.06147129929676414
2022-02-24,rb1s,0.1889945791341121
2022-02-25,cl1s,0.17200651975669232
2022-02-25,ho1s,0.0
2022-02-25,ng1s,-0.06193187599549681
2022-02-25,rb1s,0.18887441982168005
2022-02-28,cl1s,0.16380859051819027
2022-02-28,ho1s,0.0
2022-02-28,ng1s,-0.06285135143688611
2022-02-28,rb1s,0.1894688222714142
2022-03-01,cl1s,0.0
2022-03-01,ho1s,0.0
2022-03-01,ng1s,-0.06346737032205421
2022-03-01,rb1s,0.173024646368328
2022-03-02,cl1s,0.0
2022-03-02,ho1s,0.0
2022-03-02,ng1s,-0.06404704786127065
2022-03-02,rb1s,-0.1511863302975103
2022-03-03,cl1s,0.12763444962100845
2022-03-03,ho1s,0.0
2022-03-03,ng1s,-0.06505093716050717
2022-03-03,rb1s,-0.1526120751205938
2022-03-04,cl1s,0.0
2022-03-04,ho1s,0.0
2022-03-04,ng1s,-0.06491131050817404
2022-03-04,rb1s,-0.13449016402670455
2022-03-07,cl1s,0.0
2022-03-07,ho1s,0.0
2022-03-07,ng1s,-0.06528348949136605
2022-03-07,rb1s,-0.13673831625496996
2022-03-08,cl1s,0.0
2022-03-08,ho1s,0.0
2022-03-08,ng1s,-0.06459047058230166
2022-03-08,rb1s,-0.13744600370558568
2022-03-09,cl1s,0.0
2022-03-09,ho1s,0.0
2022-03-09,ng1s,-0.06567130768421531
2022-03-09,rb1s,-0.1069838012306604
2022-03-10,cl1s,0.0
2022-03-10,ho1s,0.0
2022-03-10,ng1s,-0.06661589322409413
2022-03-10,rb1s,-0.10496298091248778
2022-03-11,cl1s,0.0
2022-03-11,ho1s,0.0
2022-03-11,ng1s,-0.0676231500497893
2022-03-11,rb1s,-0.10367853349813035
2022-03-14,cl1s,-0.09144368618202951
2022-03-14,ho1s,0.0
2022-03-14,ng1s,-0.06860935346338097
2022-03-14,rb1s,-0.10172891193987538
2022-03-15,cl1s,0.0
2022-03-15,ho1s,0.0
2022-03-15,ng1s,-0.069520059644582
2022-03-15,rb1s,0.09865488734705771
2022-03-16,cl1s,0.0
2022-03-16,ho1s,0.0
2022-03-16,ng1s,-0.07006936958851671
2022-03-16,rb1s,0.10025593001366408
2022-03-17,cl1s,0.0
2022-03-17,ho1s,0.0
2022-03-17,ng1s,-0.07020901398258038
2022-03-17,rb1s,-0.09495171224464091
2022-03-18,cl1s,-0.08592786838486088
2022-03-18,ho1s,0.0
2022-03-18,ng1s,0.0
2022-03-18,rb1s,-0.0965440263439737
2022-03-21,cl1s,-0.08420105537950792
2022-03-21,ho1s,0.0
2022-03-21,ng1s,0.0
2022-03-21,rb1s,-0.09657960574954823
2022-03-22,cl1s,-0.08545298133793566
2022-03-22,ho1s,0.0
2022-03-22,ng1s,0.0
2022-03-22,rb1s,-0.09776896497929823
2022-03-23,cl1s,-0.08518168950403679
2022-03-23,ho1s,0.0
2022-03-23,ng1s,0.0
2022-03-23,rb1s,-0.09848914020950368
2022-03-24,cl1s,-0.08578048447950841
2022-03-24,ho1s,0.0
2022-03-24,ng1s,0.0
2022-03-24,rb1s,-0.0995287803429201
2022-03-25,cl1s,-0.08718663241311443
2022-03-25,ho1s,0.0
2022-03-25,ng1s,0.0
2022-03-25,rb1s,-0.10092812705200242
2022-03-28,cl1s,-0.0835171287818902
2022-03-28,ho1s,0.0
2022-03-28,ng1s,0.0
2022-03-28,rb1s,-0.09509224970942762
2022-03-29,cl1s,0.0
2022-03-29,ho1s,0.0
2022-03-29,ng1s,0.0
2022-03-29,rb1s,-0.09656882246495925
2022-03-30,cl1s,0.0
2022-03-30,ho1s,0.0
2022-03-30,ng1s,0.0
2022-03-30,rb1s,-0.09699668552962765
2022-03-31,cl1s,0.0
2022-03-31,ho1s,0.0
2022-03-31,ng1s,0.0
2022-03-31,rb1s,0.09602599114880032
2022-04-01,cl1s,0.0
