date,instrument,prediction
2022-01-03,cl1s,0.55
2022-01-03,es1s,0.55
2022-01-03,fesx1s,0.55
2022-01-03,hg1s,0.55
2022-01-03,nq1s,0.55
2022-01-03,pl1s,0.55
2022-01-03,rb1s,0.55
2022-01-03,si1s,0.55
2022-01-04,cl1s,0.55
2022-01-04,es1s,0.55
2022-01-04,fesx1s,0.55
2022-01-04,hg1s,0.55
2022-01-04,nq1s,0.55
2022-01-04,pl1s,0.55
2022-01-04,rb1s,0.55
2022-01-04,si1s,0.55
2022-01-05,cl1s,0.55
2022-01-05,es1s,0.55
2022-01-05,fesx1s,0.55
2022-01-05,hg1s,0.55
2022-01-05,nq1s,0.55
2022-01-05,pl1s,0.55
2022-01-05,rb1s,0.55
2022-01-05,si1s,0.55
2022-01-06,cl1s,0.55
2022-01-06,es1s,0.55
2022-01-06,fesx1s,0.55
2022-01-06,hg1s,0.55
2022-01-06,nq1s,0.55
2022-01-06,pl1s,0.55
2022-01-06,rb1s,0.55
2022-01-06,si1s,0.55
2022-01-07,cl1s,0.55
2022-01-07,es1s,0.55
2022-01-07,fesx1s,0.55
2022-01-07,hg1s,0.55
2022-01-07,nq1s,0.55
2022-01-07,pl1s,0.55
2022-01-07,rb1s,0.55
2022-01-07,si1s,0.55
2022-01-10,cl1s,0.55
2022-01-10,es1s,0.55
2022-01-10,fesx1s,0.55
2022-01-10,hg1s,0.55
2022-01-10,nq1s,0.55
2022-01-10,pl1s,0.55
2022-01-10,rb1s,0.55
2022-01-10,si1s,0.55
2022-01-11,cl1s,0.55
2022-01-11,es1s,0.55
2022-01-11,fesx1s,0.55
2022-01-11,hg1s,0.55
2022-01-11,nq1s,0.55
2022-01-11,pl1s,0.55
2022-01-11,rb1s,0.55
2022-01-11,si1s,0.55
2022-01-12,cl1s,0.55
2022-01-12,es1s,0.55
2022-01-12,fesx1s,0.55
2022-01-12,hg1s,0.55
2022-01-12,nq1s,0.55
2022-01-12,pl1s,0.55
2022-01-12,rb1s,0.55
2022-01-12,si1s,0.55
2022-01-13,cl1s,0.55
2022-01-13,es1s,0.55
2022-01-13,fesx1s,0.55
2022-01-13,hg1s,0.55
2022-01-13,ng1s,0.55
2022-01-13,nq1s,0.55
2022-01-13,pl1s,0.55
2022-01-13,rb1s,0.55
2022-01-13,si1s,0.55
2022-01-14,cl1s,0.55
2022-01-14,es1s,0.55
2022-01-14,fesx1s,0.55
2022-01-14,hg1s,0.55
2022-01-14,ng1s,0.55
2022-01-14,nq1s,0.55
2022-01-14,pl1s,0.55
2022-01-14,rb1s,0.55
2022-01-14,si1s,0.55
2022-01-17,fesx1s,0.55
2022-01-18,cl1s,0.55
2022-01-18,es1s,0.55
2022-01-18,fesx1s,0.55
2022-01-18,hg1s,0.55
2022-01-18,ng1s,0.55
2022-01-18,nq1s,0.55
2022-01-18,pl1s,0.55
2022-01-18,rb1s,0.55
2022-01-18,si1s,0.55
2022-01-19,cl1s,0.55
2022-01-19,es1s,0.55
2022-01-19,fesx1s,0.55
2022-01-19,hg1s,0.55
2022-01-19,nq1s,0.55
2022-01-19,pl1s,0.55
2022-01-19,rb1s,0.55
2022-01-19,si1s,0.55
2022-01-20,cl1s,0.55
2022-01-20,es1s,0.55
2022-01-20,fesx1s,0.55
2022-01-20,hg1s,0.55
2022-01-20,nq1s,0.55
2022-01-20,pl1s,0.55
2022-01-20,rb1s,0.55
2022-01-20,si1s,0.55
2022-01-21,cl1s,0.55
2022-01-21,es1s,0.55
2022-01-21,fesx1s,0.55
2022-01-21,hg1s,0.55
2022-01-21,nq1s,0.55
2022-01-21,pl1s,0.55
2022-01-21,rb1s,0.55
2022-01-21,si1s,0.55
2022-01-24,cl1s,0.55
2022-01-24,es1s,0.55
2022-01-24,fesx1s,0.55
2022-01-24,gc1s,0.55
2022-01-24,hg1s,0.55
2022-01-24,nq1s,0.55
2022-01-24,pl1s,0.55
2022-01-24,rb1s,0.55
2022-01-24,si1s,0.55
2022-01-25,cl1s,0.55
2022-01-25,es1s,0.55
2022-01-25,fesx1s,0.55
2022-01-25,gc1s,0.55
2022-01-25,hg1s,0.55
2022-01-25,ng1s,0.55
2022-01-25,nq1s,0.55
2022-01-25,pl1s,0.55
2022-01-25,rb1s,0.55
2022-01-25,si1s,0.55
2022-01-26,cl1s,0.55
2022-01-26,es1s,0.55
2022-01-26,fesx1s,0.55
2022-01-26,hg1s,0.55
2022-01-26,ng1s,0.55
2022-01-26,nq1s,0.55
2022-01-26,pl1s,0.55
2022-01-26,rb1s,0.55
2022-01-26,si1s,0.55
2022-01-27,cl1s,0.55
2022-01-27,es1s,0.55
2022-01-27,fesx1s,0.55
2022-01-27,hg1s,0.55
2022-01-27,ng1s,0.55
2022-01-27,nq1s,0.55
2022-01-27,pl1s,0.55
2022-01-27,rb1s,0.55
2022-01-27,si1s,0.55
2022-01-28,cl1s,0.55
2022-01-28,es1s,0.55
2022-01-28,fesx1s,0.55
2022-01-28,hg1s,0.55
2022-01-28,ng1s,0.55
2022-01-28,nq1s,0.55
2022-01-28,pl1s,0.55
2022-01-28,rb1s,0.55
2022-01-28,si1s,0.55
2022-01-31,cl1s,0.55
2022-01-31,es1s,0.55
2022-01-31,fesx1s,0.55
2022-01-31,hg1s,0.55
2022-01-31,ng1s,0.55
2022-01-31,nq1s,0.55
2022-01-31,pl1s,0.55
2022-01-31,rb1s,0.55
2022-01-31,si1s,0.55
2022-02-01,cl1s,0.55
2022-02-01,es1s,0.55
2022-02-01,fesx1s,0.55
2022-02-01,hg1s,0.55
2022-02-01,ng1s,0.55
2022-02-01,nq1s,0.55
2022-02-01,pl1s,0.55
2022-02-01,rb1s,0.55
2022-02-02,cl1s,0.55
2022-02-02,es1s,0.55
2022-02-02,fesx1s,0.55
2022-02-02,hg1s,0.55
2022-02-02,ng1s,0.55
2022-02-02,nq1s,0.55
2022-02-02,pl1s,0.55
2022-02-02,rb1s,0.55
2022-02-02,si1s,0.55
2022-02-03,es1s,0.55
2022-02-03,fesx1s,0.55
2022-02-03,hg1s,0.55
2022-02-03,ng1s,0.55
2022-02-03,nq1s,0.55
2022-02-03,rb1s,0.55
2022-02-03,si1s,0.55
2022-02-04,fesx1s,0.55
2022-02-04,hg1s,0.55
2022-02-04,ng1s,0.55
2022-02-04,nq1s,0.55
2022-02-04,pl1s,0.55
2022-02-04,rb1s,0.55
2022-02-04,si1s,0.55
2022-02-07,es1s,0.55
2022-02-07,fesx1s,0.55
2022-02-07,hg1s,0.55
2022-02-07,pl1s,0.55
2022-02-07,rb1s,0.55
2022-02-07,si1s,0.55
2022-02-08,es1s,0.55
2022-02-08,fesx1s,0.55
2022-02-08,hg1s,0.55
2022-02-08,ng1s,0.55
2022-02-08,nq1s,0.55
2022-02-08,pl1s,0.55
2022-02-08,rb1s,0.55
2022-02-08,si1s,0.55
2022-02-09,es1s,0.55
2022-02-09,fesx1s,0.55
2022-02-09,hg1s,0.55
2022-02-09,ng1s,0.55
2022-02-09,nq1s,0.55
2022-02-09,pl1s,0.55
2022-02-09,rb1s,0.55
2022-02-09,si1s,0.55
2022-02-10,cl1s,0.55
2022-02-10,es1s,0.55
2022-02-10,fesx1s,0.55
2022-02-10,hg1s,0.55
2022-02-10,ng1s,0.55
2022-02-10,nq1s,0.55
2022-02-10,rb1s,0.55
2022-02-10,si1s,0.55
2022-02-11,es1s,0.55
2022-02-11,fesx1s,0.55
2022-02-11,hg1s,0.55
2022-02-11,ng1s,0.55
2022-02-11,nq1s,0.55
2022-02-11,pl1s,0.55
2022-02-11,rb1s,0.55
2022-02-11,si1s,0.55
2022-02-14,es1s,0.55
2022-02-14,fesx1s,0.55
2022-02-14,hg1s,0.55
2022-02-14,ng1s,0.55
2022-02-14,nq1s,0.55
2022-02-14,pl1s,0.55
2022-02-14,rb1s,0.55
2022-02-14,si1s,0.55
2022-02-15,cl1s,0.55
2022-02-15,es1s,0.55
2022-02-15,fesx1s,0.55
2022-02-15,hg1s,0.55
2022-02-15,ng1s,0.55
2022-02-15,nq1s,0.55
2022-02-15,pl1s,0.55
2022-02-15,rb1s,0.55
2022-02-15,si1s,0.55
2022-02-16,cl1s,0.55
2022-02-16,es1s,0.55
2022-02-16,fesx1s,0.55
2022-02-16,gc1s,0.55
2022-02-16,hg1s,0.55
2022-02-16,ng1s,0.55
2022-02-16,nq1s,0.55
2022-02-16,pl1s,0.55
2022-02-16,rb1s,0.55
2022-02-16,si1s,0.55
2022-02-17,cl1s,0.55
2022-02-17,es1s,0.55
2022-02-17,fesx1s,0.55
2022-02-17,hg1s,0.55
2022-02-17,ng1s,0.55
2022-02-17,nq1s,0.55
2022-02-17,pl1s,0.55
2022-02-17,rb1s,0.55
2022-02-17,si1s,0.55
2022-02-18,cl1s,0.55
2022-02-18,es1s,0.55
2022-02-18,fesx1s,0.55
