date,instrument,prediction
2022-01-03,cl1s,0.55
2022-01-03,ho1s,0.0
2022-01-03,ng1s,0.0
2022-01-03,rb1s,0.55
2022-01-04,cl1s,0.55
2022-01-04,ho1s,0.0
2022-01-04,ng1s,0.0
2022-01-04,rb1s,0.55
2022-01-05,cl1s,0.55
2022-01-05,ho1s,0.0
2022-01-05,ng1s,0.0
2022-01-05,rb1s,0.55
2022-01-06,cl1s,0.55
2022-01-06,ho1s,0.0
2022-01-06,ng1s,0.0
2022-01-06,rb1s,0.55
2022-01-07,cl1s,0.55
2022-01-07,ho1s,0.0
2022-01-07,ng1s,0.0
2022-01-07,rb1s,0.55
2022-01-10,cl1s,0.55
2022-01-10,ho1s,0.0
2022-01-10,ng1s,0.0
2022-01-10,rb1s,0.55
2022-01-11,cl1s,0.55
2022-01-11,ho1s,0.0
2022-01-11,ng1s,0.0
2022-01-11,rb1s,0.55
2022-01-12,cl1s,0.55
2022-01-12,ho1s,0.0
2022-01-12,ng1s,0.0
2022-01-12,rb1s,0.55
2022-01-13,cl1s,0.55
2022-01-13,ho1s,0.0
2022-01-13,ng1s,0.55
2022-01-13,rb1s,0.55
2022-01-14,cl1s,0.55
2022-01-14,ho1s,0.0
2022-01-14,ng1s,0.55
2022-01-14,rb1s,0.55
2022-01-17,cl1s,0.0
2022-01-17,ho1s,0.0
2022-01-17,ng1s,0.0
2022-01-17,rb1s,0.0
2022-01-18,cl1s,0.55
2022-01-18,ho1s,0.0
2022-01-18,ng1s,0.55
2022-01-18,rb1s,0.55
2022-01-19,cl1s,0.55
2022-01-19,ho1s,0.0
2022-01-19,ng1s,0.0
2022-01-19,rb1s,0.55
2022-01-20,cl1s,0.55
2022-01-20,ho1s,0.0
2022-01-20,ng1s,0.0
2022-01-20,rb1s,0.55
2022-01-21,cl1s,0.55
2022-01-21,ho1s,0.0
2022-01-21,ng1s,0.0
2022-01-21,rb1s,0.55
2022-01-24,cl1s,0.55
2022-01-24,ho1s,0.0
2022-01-24,ng1s,0.0
2022-01-24,rb1s,0.55
2022-01-25,cl1s,0.55
2022-01-25,ho1s,0.0
2022-01-25,ng1s,0.55
2022-01-25,rb1s,0.55
2022-01-26,cl1s,0.55
2022-01-26,ho1s,0.0
2022-01-26,ng1s,0.55
2022-01-26,rb1s,0.55
2022-01-27,cl1s,0.55
2022-01-27,ho1s,0.0
2022-01-27,ng1s,0.55
2022-01-27,rb1s,0.55
2022-01-28,cl1s,0.55
2022-01-28,ho1s,0.0
2022-01-28,ng1s,0.55
2022-01-28,rb1s,0.55
2022-01-31,cl1s,0.55
2022-01-31,ho1s,0.0
2022-01-31,ng1s,0.55
2022-01-31,rb1s,0.55
2022-02-01,cl1s,0.55
2022-02-01,ho1s,0.0
2022-02-01,ng1s,0.55
2022-02-01,rb1s,0.55
2022-02-02,cl1s,0.55
2022-02-02,ho1s,0.0
2022-02-02,ng1s,0.55
2022-02-02,rb1s,0.55
2022-02-03,cl1s,0.0
2022-02-03,ho1s,0.0
2022-02-03,ng1s,0.55
2022-02-03,rb1s,0.55
2022-02-04,cl1s,0.0
2022-02-04,ho1s,0.0
2022-02-04,ng1s,0.55
2022-02-04,rb1s,0.55
2022-02-07,cl1s,0.0
2022-02-07,ho1s,0.0
2022-02-07,ng1s,0.0
2022-02-07,rb1s,0.55
2022-02-08,cl1s,0.0
2022-02-08,ho1s,0.0
2022-02-08,ng1s,0.55
2022-02-08,rb1s,0.55
2022-02-09,cl1s,0.0
2022-02-09,ho1s,0.0
2022-02-09,ng1s,0.55
2022-02-09,rb1s,0.55
2022-02-10,cl1s,0.55
2022-02-10,ho1s,0.0
2022-02-10,ng1s,0.55
2022-02-10,rb1s,0.55
2022-02-11,cl1s,0.0
2022-02-11,ho1s,0.0
2022-02-11,ng1s,0.55
2022-02-11,rb1s,0.55
2022-02-14,cl1s,0.0
2022-02-14,ho1s,0.0
