date,instrument,prediction
2020-01-03,rb1s,0.55
2020-01-06,rb1s,0.55
2020-01-07,cl1s,0.55
2020-01-07,rb1s,0.55
2020-01-08,rb1s,0.55
2020-01-09,rb1s,0.55
2020-01-10,rb1s,0.55
2020-01-13,rb1s,0.55
2020-01-14,rb1s,0.55
2020-01-15,rb1s,0.55
2020-01-16,rb1s,0.55
2020-01-17,rb1s,0.55
2020-01-21,ho1s,0.55
2020-01-21,rb1s,0.55
2020-01-22,cl1s,0.55
2020-01-22,rb1s,0.55
2020-01-23,cl1s,0.55
2020-01-23,ho1s,0.55
2020-01-23,rb1s,0.55
2020-01-24,cl1s,0.55
2020-01-24,rb1s,0.55
2020-01-27,cl1s,0.55
2020-01-27,rb1s,0.55
2020-01-28,cl1s,0.55
2020-01-28,rb1s,0.55
2020-01-29,cl1s,0.55
2020-01-29,rb1s,0.55
2020-01-30,cl1s,0.55
2020-01-30,rb1s,0.55
2020-01-31,cl1s,0.55
2020-01-31,ho1s,0.55
2020-01-31,rb1s,0.55
2020-02-03,ho1s,0.55
2020-02-03,rb1s,0.55
2020-02-04,ho1s,0.55
2020-02-04,rb1s,0.55
2020-02-05,cl1s,0.55
2020-02-05,rb1s,0.55
2020-02-06,cl1s,0.55
2020-02-06,rb1s,0.55
2020-02-07,cl1s,0.55
2020-02-07,rb1s,0.55
2020-02-10,cl1s,0.55
2020-02-10,rb1s,0.55
2020-02-11,cl1s,0.55
2020-02-11,rb1s,0.55
2020-02-12,cl1s,0.55
2020-02-12,rb1s,0.55
2020-02-13,cl1s,0.55
2020-02-13,rb1s,0.55
2020-02-14,cl1s,0.55
2020-02-14,rb1s,0.55
2020-02-18,cl1s,0.55
2020-02-18,rb1s,0.55
2020-02-19,cl1s,0.55
2020-02-19,rb1s,0.55
2020-02-20,cl1s,0.55
2020-02-20,rb1s,0.55
2020-02-21,cl1s,0.55
2020-02-21,rb1s,0.55
2020-02-24,cl1s,0.55
2020-02-24,rb1s,0.55
2020-02-25,cl1s,0.55
2020-02-25,rb1s,0.55
2020-02-26,cl1s,0.55
2020-02-26,rb1s,0.55
2020-02-27,cl1s,0.55
2020-02-27,rb1s,0.55
2020-02-28,cl1s,0.55
2020-02-28,rb1s,0.55
2020-03-02,rb1s,0.55
2020-03-03,rb1s,0.55
2020-03-04,rb1s,0.55
2020-03-05,rb1s,0.55
2020-03-06,rb1s,0.55
2020-03-09,ho1s,0.55
2020-03-09,rb1s,0.55
2020-03-10,rb1s,0.55
2020-03-11,rb1s,0.55
2020-03-12,rb1s,0.55
2020-03-13,rb1s,0.55
2020-03-16,rb1s,0.55
2020-03-17,rb1s,0.55
2020-03-18,cl1s,0.55
2020-03-18,rb1s,0.55
2020-03-19,rb1s,0.55
2020-03-20,cl1s,0.55
2020-03-20,rb1s,0.55
2020-03-23,cl1s,0.55
2020-03-23,rb1s,0.55
2020-03-24,cl1s,0.55
2020-03-24,rb1s,0.55
2020-03-25,rb1s,0.55
2020-03-26,cl1s,0.55
2020-03-26,rb1s,0.55
2020-03-27,cl1s,0.55
2020-03-27,rb1s,0.55
