model_type,ticker,tb_config_name,model_name,feature_method,importance_group,cluster_importance,group_type,representative_model_features,n_model_features,cluster_id,cluster_n_features,cluster_features,dropped_cluster_features,importance_type
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,vol_ratio_63_126d,0.14437474609506828,single_feature,['vol_ratio_63_126d'],1,,1,['vol_ratio_63_126d'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,"cluster_008: vol_63d (rep, n=4)",0.0991998618691206,correlation_cluster,['vol_63d'],1,8.0,4,"['vol_63d', 'ewma_vol_63d', 'park_vol_63d', 'gk_vol_63d']","['ewma_vol_63d', 'park_vol_63d', 'gk_vol_63d']",random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,sma50_vs_sma100,0.07000728711313388,single_feature,['sma50_vs_sma100'],1,,1,['sma50_vs_sma100'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,bb_lower_dist,0.03146614151108984,single_feature,['bb_lower_dist'],1,,1,['bb_lower_dist'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,"cluster_007: atr_20d_pct (rep, n=18)",0.03082458888798109,correlation_cluster,['atr_20d_pct'],1,7.0,18,"['vol_5d', 'vol_10d', 'vol_20d', 'ewma_vol_5d', 'ewma_vol_10d', 'ewma_vol_20d', 'park_vol_5d', 'park_vol_10d', 'park_vol_20d', 'gk_vol_5d', 'gk_vol_10d', 'gk_vol_20d', 'atr_5d_pct', 'atr_10d_pct', 'atr_14d_pct', 'atr_20d_pct', 'vol_20d_for_interaction', 'vol_20d_x_hmm_confidence']","['vol_5d', 'vol_10d', 'vol_20d', 'ewma_vol_5d', 'ewma_vol_10d', 'ewma_vol_20d', 'park_vol_5d', 'park_vol_10d', 'park_vol_20d', 'gk_vol_5d', 'gk_vol_10d', 'gk_vol_20d', 'atr_5d_pct', 'atr_10d_pct', 'atr_14d_pct', 'vol_20d_for_interaction', 'vol_20d_x_hmm_confidence']",random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,bb_width,0.0300806456132089,single_feature,['bb_width'],1,,1,['bb_width'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,"cluster_010: atr_20d (rep, n=4)",0.027255668608646505,correlation_cluster,['atr_20d'],1,10.0,4,"['atr_5d', 'atr_10d', 'atr_14d', 'atr_20d']","['atr_5d', 'atr_10d', 'atr_14d']",random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,ret_126d,0.026363095693728623,single_feature,['ret_126d'],1,,1,['ret_126d'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,sma100_slope,0.026306372335630775,single_feature,['sma100_slope'],1,,1,['sma100_slope'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,ret_spread_20_63,0.02606899537363197,single_feature,['ret_spread_20_63'],1,,1,['ret_spread_20_63'],[],random_forest_mdi
