model_type,ticker,tb_config_name,feature_method,mean_auc,std_auc,median_auc,n_folds,n_cpcv_paths,median_path_trade_sharpe,mean_path_trade_sharpe,path_sharpe_iqr,min_path_trade_sharpe,max_path_trade_sharpe,mean_precision,mean_recall,mean_f1,mean_trade_count,num_days,model_name,penalty,C,l1_ratio,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,feature_params,auc_rank_within_ticker
random_forest,cl1s,parkinson_10d_tp2_sl2,corr_cluster,0.6430800073728766,0.1920263681269187,0.666887926887927,28,7,0.4219155242764368,0.4249771239139783,0.0156215245322222,0.3570072368745804,0.4865743532930299,0.7002935622411911,0.8208627520819907,0.7284096729289271,64.71428571428571,10,rf_shallow,,,,300.0,4.0,10.0,sqrt,balanced,"{""corr_threshold"": 0.9, ""corr_method"": ""spearman"", ""selection_method"": ""target_corr"", ""min_periods"": 20}",1
random_forest,cl1s,garman_klass_10d_tp2_sl2,corr_cluster,0.6430800073728766,0.1920263681269187,0.666887926887927,28,7,0.4203806616624856,0.4223364705644309,0.0159782820646656,0.3560689845454189,0.4831190543647339,0.7002935622411911,0.8208627520819907,0.7284096729289271,64.71428571428571,10,rf_shallow,,,,300.0,4.0,10.0,sqrt,balanced,"{""corr_threshold"": 0.9, ""corr_method"": ""spearman"", ""selection_method"": ""target_corr"", ""min_periods"": 20}",2
random_forest,cl1s,parkinson_10d_tp2_sl2,corr_cluster,0.6355587454217168,0.1909905406093623,0.6774675324675326,28,7,0.4223543594883385,0.4179390623170163,0.0133127198987662,0.3546929768843207,0.4723211979398856,0.6904162131917849,0.8339420158150636,0.7326416170587515,66.32142857142857,10,rf_medium_depth,,,,500.0,8.0,8.0,sqrt,balanced,"{""corr_threshold"": 0.9, ""corr_method"": ""spearman"", ""selection_method"": ""target_corr"", ""min_periods"": 20}",3
logistic_regression,ho1s,garman_klass_10d_tp2_sl2,pca,0.7361653607023977,0.1599562768565435,0.7500000000000001,28,7,0.6314217870475658,0.6687228165479214,0.1694863548318674,0.3878404927828379,0.9975097274429332,0.7926583337297625,0.7304792429792429,0.7055234538273979,9.821428571428571,10,l2_C0.1,l2,0.1,,,,,,balanced,"{""n_components"": 0.95, ""standardize"": true, ""impute_strategy"": ""median"", ""component_prefix"": ""pca"", ""random_state"": 42, ""svd_solver"": ""full""}",1
logistic_regression,ho1s,garman_klass_10d_tp2_sl2,corr_cluster,0.7282950074616742,0.1625349855595495,0.7333333333333333,28,7,0.5560400470156805,0.5891228945933369,0.1128783640712288,0.4689158494236232,0.7562976640042417,0.7554605117105117,0.7397972067614924,0.6928772537696543,10.428571428571429,10,l2_C1,l2,1.0,,,,,,balanced,"{""corr_threshold"": 0.9, ""corr_method"": ""spearman"", ""selection_method"": ""target_corr"", ""min_periods"": 20}",2
logistic_regression,ho1s,garman_klass_10d_tp2_sl2,corr_cluster,0.726718870121648,0.154469925863064,0.75,28,7,0.541244627769466,0.5997143702311883,0.1184330554982047,0.4763054812830191,0.8896337421113716,0.7625856286570573,0.7340252009894866,0.6926728011992324,10.25,10,l2_C0.1,l2,0.1,,,,,,balanced,"{""corr_threshold"": 0.9, ""corr_method"": ""spearman"", ""selection_method"": ""target_corr"", ""min_periods"": 20}",3
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,corr_cluster,0.6196709278926541,0.1994015674824006,0.6680695847362514,28,7,0.3282929771753214,0.313007260007546,0.0984199305096638,0.1035459436668859,0.546956795270595,0.6731574972646401,0.6708252065394923,0.6228563652037499,10.785714285714286,10,l1_C1,l1,1.0,,,,,,balanced,"{""corr_threshold"": 0.9, ""corr_method"": ""spearman"", ""selection_method"": ""target_corr"", ""min_periods"": 20}",1
logistic_regression,ng1s,parkinson_10d_tp2_sl2,corr_cluster,0.6196709278926541,0.1994015674824006,0.6680695847362514,28,7,0.3280384878206248,0.3115862173141802,0.0921740680338595,0.1053339822951663,0.5457967339769678,0.6731574972646401,0.6708252065394923,0.6228563652037499,10.785714285714286,10,l1_C1,l1,1.0,,,,,,balanced,"{""corr_threshold"": 0.9, ""corr_method"": ""spearman"", ""selection_method"": ""target_corr"", ""min_periods"": 20}",2
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,pca,0.6044950860427052,0.1801804386576445,0.5936507936507938,28,7,0.3196550111186046,0.3957386966197949,0.4054982069946746,0.1256743404944031,0.7030265601736829,0.7347259620631469,0.6410541839113267,0.6175132135047187,9.928571428571429,10,l2_C1,l2,1.0,,,,,,balanced,"{""n_components"": 0.95, ""standardize"": true, ""impute_strategy"": ""median"", ""component_prefix"": ""pca"", ""random_state"": 42, ""svd_solver"": ""full""}",3
logistic_regression,rb1s,garman_klass_10d_tp2_sl2,pca,0.5518401024545742,0.0862300067257784,0.5728705692803437,28,7,0.0503071374540588,0.0412283250426814,0.0383642549517971,0.0024314710785704,0.0674389906195974,0.5189199766712329,0.5867142998392467,0.5290140634303366,69.10714285714286,10,l2_C0.1,l2,0.1,,,,,,balanced,"{""n_components"": 0.95, ""standardize"": true, ""impute_strategy"": ""median"", ""component_prefix"": ""pca"", ""random_state"": 42, ""svd_solver"": ""full""}",1
