model_type,ticker,tb_config_name,feature_method,mean_auc,std_auc,median_auc,n_folds,n_cpcv_paths,median_path_trade_sharpe,mean_path_trade_sharpe,path_sharpe_iqr,min_path_trade_sharpe,max_path_trade_sharpe,mean_precision,mean_recall,mean_f1,mean_trade_count,num_days,model_name,penalty,C,l1_ratio,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,feature_params
random_forest,cl1s,parkinson_10d_tp2_sl2,corr_cluster,0.6430800073728766,0.1920263681269187,0.666887926887927,28,7,0.42191552427643686,0.4249771239139783,0.015621524532222264,0.3570072368745804,0.4865743532930299,0.7002935622411911,0.8208627520819907,0.7284096729289271,64.71428571428571,10,rf_shallow,,,,300,4,10,sqrt,balanced,"{""corr_threshold"": 0.9, ""corr_method"": ""spearman"", ""selection_method"": ""target_corr"", ""min_periods"": 20}"
random_forest,cl1s,garman_klass_10d_tp2_sl2,corr_cluster,0.6430800073728766,0.1920263681269187,0.666887926887927,28,7,0.4203806616624856,0.4223364705644309,0.015978282064665672,0.3560689845454189,0.48311905436473396,0.7002935622411911,0.8208627520819907,0.7284096729289271,64.71428571428571,10,rf_shallow,,,,300,4,10,sqrt,balanced,"{""corr_threshold"": 0.9, ""corr_method"": ""spearman"", ""selection_method"": ""target_corr"", ""min_periods"": 20}"
random_forest,cl1s,parkinson_10d_tp2_sl2,corr_cluster,0.6355587454217168,0.19099054060936235,0.6774675324675326,28,7,0.42235435948833855,0.41793906231701633,0.013312719898766256,0.3546929768843207,0.47232119793988564,0.6904162131917849,0.8339420158150636,0.7326416170587515,66.32142857142857,10,rf_medium_depth,,,,500,8,8,sqrt,balanced,"{""corr_threshold"": 0.9, ""corr_method"": ""spearman"", ""selection_method"": ""target_corr"", ""min_periods"": 20}"
random_forest,cl1s,garman_klass_10d_tp2_sl2,corr_cluster,0.6355587454217168,0.19099054060936235,0.6774675324675326,28,7,0.41984930297585804,0.4156064857245985,0.01494515483111497,0.3537477344908434,0.46902825188185004,0.6904162131917849,0.8339420158150636,0.7326416170587515,66.32142857142857,10,rf_medium_depth,,,,500,8,8,sqrt,balanced,"{""corr_threshold"": 0.9, ""corr_method"": ""spearman"", ""selection_method"": ""target_corr"", ""min_periods"": 20}"
random_forest,cl1s,ewma_5d_tp2_sl2,corr_cluster,0.6145986074282844,0.09821404204270204,0.6117192992192992,28,7,0.2982377842499047,0.2915797666957259,0.05386275877485769,0.2300712801259039,0.34313488462534264,0.6698899201925664,0.7838060422019594,0.7045129680105646,60.57142857142857,5,rf_medium_depth,,,,500,8,8,sqrt,balanced,"{""corr_threshold"": 0.9, ""corr_method"": ""spearman"", ""selection_method"": ""target_corr"", ""min_periods"": 20}"
random_forest,ho1s,ewma_5d_tp2_sl2,pca,0.659587716809939,0.16514201477018003,0.6727272727272727,28,7,0.396754518693048,0.4211941967383857,0.1413606908677642,0.29057458284210747,0.6219544130164361,0.7375698706055849,0.7633169409955123,0.7047718465696756,10.821428571428571,5,rf_medium_depth,,,,500,8,8,sqrt,balanced,"{""n_components"": 0.95, ""standardize"": true, ""impute_strategy"": ""median"", ""component_prefix"": ""pca"", ""random_state"": 42, ""svd_solver"": ""full""}"
random_forest,ho1s,ewma_5d_tp2_sl2,pca,0.6436737079792635,0.1714543588143461,0.6538461538461539,28,7,0.39405651120095125,0.42014330113281195,0.13597636581268124,0.29965473487457134,0.5601581629568071,0.7463141025641026,0.7363036764822477,0.6947714805572526,10.392857142857142,5,rf_shallow,,,,300,4,10,sqrt,balanced,"{""n_components"": 0.95, ""standardize"": true, ""impute_strategy"": ""median"", ""component_prefix"": ""pca"", ""random_state"": 42, ""svd_solver"": ""full""}"
random_forest,ho1s,ewma_10d_tp1_5_sl1_5,pca,0.6229553668058133,0.1820733103286652,0.6477272727272727,28,7,0.3328739956060821,0.32401893269467735,0.05465399565089257,0.25090875423921594,0.38555787198873603,0.6612244897959184,0.790324259074259,0.6518157647932371,11.857142857142858,10,rf_medium_depth,,,,500,8,8,sqrt,balanced,"{""n_components"": 0.95, ""standardize"": true, ""impute_strategy"": ""median"", ""component_prefix"": ""pca"", ""random_state"": 42, ""svd_solver"": ""full""}"
random_forest,ho1s,ewma_5d_tp2_sl2,corr_cluster,0.6176087449930043,0.18821129302154915,0.6041666666666667,28,7,0.3623935204968986,0.4243642118323712,0.1131671442589306,0.27772088746227813,0.7325811264266682,0.725776505240791,0.7291900559757704,0.67611088577254,10.678571428571429,5,rf_shallow,,,,300,4,10,sqrt,balanced,"{""corr_threshold"": 0.9, ""corr_method"": ""spearman"", ""selection_method"": ""target_corr"", ""min_periods"": 20}"
random_forest,ho1s,ewma_10d_tp1_5_sl1_5,pca,0.6002884466723754,0.1791290911263393,0.5234375,28,7,0.3429604721203472,0.3408845148376793,0.02988511104878966,0.3032782066633132,0.3664516507973558,0.6831698063840922,0.8637785825285824,0.7079151277753761,12.928571428571429,10,rf_shallow,,,,300,4,10,sqrt,balanced,"{""n_components"": 0.95, ""standardize"": true, ""impute_strategy"": ""median"", ""component_prefix"": ""pca"", ""random_state"": 42, ""svd_solver"": ""full""}"
